Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Kyle Edwards,WBA,5,110,0.0,0.0,0.0,0.12,0.12,0.02,0.19,0.05,0.10,0.10,0.02,0.11,0.11,0.16,0.04
Vitinha,WOL,5,30,0.0,0.0,1.0,0.00,0.00,0.09,0.21,0.12,0.00,0.00,0.26,0.26,0.26,0.62,0.37
Fabio Silva,WOL,8,297,0.0,0.0,0.0,0.77,0.77,0.18,1.43,0.66,0.23,0.23,0.05,0.29,0.29,0.43,0.20
Joël Veltman,BHA,9,629,0.0,0.0,0.0,0.00,0.00,0.14,1.87,1.73,0.00,0.00,0.02,0.02,0.02,0.27,0.25
Liam Cooper,LEE,10,900,0.0,0.0,0.0,0.32,0.32,0.00,4.52,4.52,0.03,0.03,0.00,0.03,0.03,0.45,0.45
Matthew Cash,AVL,10,870,0.0,0.0,1.0,0.05,0.05,0.30,1.87,1.58,0.01,0.01,0.03,0.04,0.04,0.19,0.16
Liam Delap,MCI,1,39,0.0,0.0,0.0,0.06,0.06,0.00,0.06,0.00,0.15,0.15,0.00,0.15,0.15,0.15,0.00
Conor Townsend,WBA,8,707,0.0,0.0,0.0,0.13,0.13,0.21,0.71,0.43,0.02,0.02,0.03,0.04,0.04,0.09,0.05
Max Lowe,SHU,6,417,0.0,0.0,0.0,0.09,0.09,0.00,0.96,0.88,0.02,0.02,0.00,0.02,0.02,0.21,0.19
Leif Davis,LEE,1,12,0.0,0.0,0.0,0.00,0.00,0.00,0.23,0.23,0.00,0.00,0.00,0.00,0.00,1.75,1.75
Antonee Robinson,FUL,10,900,0.0,0.0,0.0,0.12,0.12,1.09,3.5,2.79,0.01,0.01,0.11,0.12,0.12,0.35,0.28
Jacob Ramsey,AVL,2,99,0.0,0.0,0.0,0.08,0.08,0.03,0.09,0.00,0.08,0.08,0.03,0.10,0.10,0.09,0.00
Rúben Dias,MCI,10,882,0.0,0.0,0.0,1.12,1.12,0.00,4.82,4.78,0.11,0.11,0.00,0.11,0.11,0.49,0.49
Vladimir Coufal,WHU,10,896,0.0,0.0,2.0,0.19,0.19,1.48,2.21,1.13,0.02,0.02,0.15,0.17,0.17,0.22,0.11
