Player,Player_first,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Edwards,Kyle,WBA,5,110,0.0,0.0,0.0,0.12,0.12,0.02,0.19,0.05,0.10,0.10,0.02,0.11,0.11,0.16,0.04
Vitinha,Vitinha,WOL,2,18,0.0,0.0,0.0,0.00,0.00,0.01,0.11,0.09,0.00,0.00,0.07,0.07,0.07,0.53,0.46
Silva,Fabio,WOL,4,47,0.0,0.0,0.0,0.13,0.13,0.01,0.14,0.01,0.24,0.24,0.02,0.27,0.27,0.27,0.02
Veltman,Joël,BHA,4,306,0.0,0.0,0.0,0.00,0.00,0.14,0.67,0.53,0.00,0.00,0.04,0.04,0.04,0.20,0.16
Cooper,Liam,LEE,5,450,0.0,0.0,0.0,0.19,0.19,0.00,2.91,2.91,0.04,0.04,0.00,0.04,0.04,0.58,0.58
Cash,Matthew,AVL,7,601,0.0,0.0,0.0,0.05,0.05,0.20,1.62,1.39,0.01,0.01,0.03,0.04,0.04,0.24,0.21
Delap,Liam,MCI,1,39,0.0,0.0,0.0,0.06,0.06,0.00,0.06,0.00,0.15,0.15,0.00,0.15,0.15,0.15,0.00
Townsend,Conor,WBA,6,540,0.0,0.0,0.0,0.06,0.06,0.21,0.55,0.33,0.01,0.01,0.03,0.04,0.04,0.09,0.06
Lowe,Max,SHU,3,189,0.0,0.0,0.0,0.02,0.02,0.00,0.48,0.45,0.01,0.01,0.00,0.01,0.01,0.23,0.22
Davis,Leif,LEE,1,12,0.0,0.0,0.0,0.00,0.00,0.00,0.23,0.23,0.00,0.00,0.00,0.00,0.00,1.75,1.75
Robinson,Antonee,FUL,5,450,0.0,0.0,0.0,0.06,0.06,0.27,2.18,1.93,0.01,0.01,0.05,0.07,0.07,0.44,0.39
