Player,Player_first,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Luiz,David,ARS,5,322,0.0,0.0,0.0,0.08,0.08,0.00,0.74,0.74,0.02,0.02,0.00,0.02,0.02,0.21,0.21
Batshuayi,Michy,CRY,5,276,0.0,0.0,1.0,0.42,0.42,0.75,1.28,0.86,0.14,0.14,0.24,0.38,0.38,0.42,0.28
Slimani,Islam,LEI,1,17,0.0,0.0,0.0,0.10,0.10,0.08,0.18,0.00,0.53,0.53,0.41,0.94,0.94,0.94,0.00
Fraser,Ryan,NEW,5,180,0.0,0.0,0.0,0.03,0.03,0.00,0.08,0.05,0.01,0.01,0.00,0.01,0.01,0.04,0.03
Elmohamady,Ahmed,AVL,2,29,0.0,0.0,0.0,0.00,0.00,0.05,0.06,0.06,0.00,0.00,0.14,0.14,0.14,0.18,0.18
Livermore,Jake,WBA,8,662,0.0,0.0,0.0,0.20,0.20,0.14,0.5,0.30,0.03,0.03,0.02,0.05,0.05,0.07,0.04
Snodgrass,Robert,WHU,1,1,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Mustafi,Shkodran,ARS,2,42,0.0,0.0,0.0,0.00,0.00,0.00,0.06,0.06,0.00,0.00,0.00,0.00,0.00,0.14,0.14
Manquillo,Javier,NEW,4,301,0.0,0.0,0.0,0.02,0.02,0.04,0.33,0.26,0.01,0.01,0.01,0.02,0.02,0.10,0.08
Doucouré,Abdoulaye,EVE,8,658,0.0,0.0,1.0,0.50,0.50,1.08,3.6,2.88,0.07,0.07,0.15,0.22,0.22,0.49,0.39
Stephens,Jack,SOU,4,313,0.0,0.0,0.0,0.09,0.09,0.16,0.56,0.47,0.03,0.03,0.05,0.07,0.07,0.16,0.14
McBurnie,Oliver,SHU,8,451,0.0,0.0,0.0,0.95,0.95,0.23,1.95,0.86,0.19,0.19,0.05,0.24,0.24,0.39,0.17
Phillips,Matt,WBA,6,59,0.0,0.0,0.0,0.02,0.02,0.15,0.15,0.00,0.03,0.03,0.22,0.25,0.25,0.22,0.00
Robson-Kanu,Hal,WBA,3,80,0.0,0.0,0.0,0.08,0.08,0.03,0.11,0.03,0.09,0.09,0.03,0.12,0.12,0.12,0.03
Bailly,Eric,MUN,2,95,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Pogba,Paul,MUN,7,371,0.0,0.0,0.0,0.16,0.16,0.05,0.94,0.76,0.04,0.04,0.01,0.05,0.05,0.23,0.18
Long,Kevin,BUR,6,540,0.0,0.0,0.0,0.09,0.09,0.02,0.43,0.43,0.02,0.02,0.00,0.02,0.02,0.07,0.07
Holding,Rob,ARS,5,450,0.0,0.0,0.0,0.11,0.11,0.00,0.94,0.94,0.02,0.02,0.00,0.02,0.02,0.19,0.19
Maitland-Niles,Ainsley,ARS,4,186,0.0,0.0,0.0,0.05,0.05,0.00,0.63,0.58,0.02,0.02,0.00,0.02,0.02,0.30,0.28
Masuaku,Arthur,WHU,7,630,0.0,0.0,1.0,0.43,0.43,1.69,2.98,1.33,0.06,0.06,0.24,0.30,0.30,0.43,0.19
Mendy,Nampalys,LEI,8,710,0.0,0.0,1.0,0.01,0.01,0.11,1.06,0.94,0.00,0.00,0.01,0.01,0.01,0.13,0.12
Alexander-Arnold,Trent,LIV,8,696,0.0,0.0,1.0,0.58,0.58,1.62,4.87,4.30,0.07,0.07,0.21,0.28,0.28,0.63,0.56
Digne,Lucas,EVE,7,613,0.0,0.0,2.0,0.14,0.14,1.06,1.97,1.35,0.02,0.02,0.16,0.18,0.18,0.29,0.20
Hernández,Pablo,LEE,4,155,0.0,0.0,0.0,0.73,0.73,0.09,1.45,0.66,0.42,0.42,0.05,0.48,0.48,0.84,0.38
Guaita,Vicente,CRY,8,720,0.0,0.0,0.0,0.00,0.00,0.00,0.8,0.80,0.00,0.00,0.00,0.00,0.00,0.10,0.10
Kovacic,Mateo,CHE,4,207,0.0,0.0,1.0,0.05,0.05,0.08,1.37,1.32,0.02,0.02,0.04,0.06,0.06,0.60,0.57
Areola,Alphonse,FUL,7,630,0.0,0.0,0.0,0.00,0.00,0.00,0.93,0.93,0.00,0.00,0.00,0.00,0.00,0.13,0.13
Partey,Thomas,ARS,4,235,0.0,0.0,0.0,0.60,0.60,0.03,1.14,0.51,0.23,0.23,0.01,0.24,0.24,0.44,0.20
Cancelo,João,MCI,4,360,0.0,0.0,1.0,0.05,0.05,1.05,3.3,2.38,0.01,0.01,0.26,0.27,0.27,0.83,0.60
Gomes,André,EVE,5,374,0.0,0.0,0.0,0.07,0.07,0.10,1.02,0.85,0.02,0.02,0.02,0.04,0.04,0.25,0.20
Ryan,Mat,BHA,7,630,0.0,0.0,0.0,0.00,0.00,0.00,0.77,0.77,0.00,0.00,0.00,0.00,0.00,0.11,0.11
Ceballos,Dani,ARS,7,432,0.0,0.0,1.0,0.16,0.16,1.24,2.28,2.03,0.03,0.03,0.26,0.29,0.29,0.47,0.42
Rodri,Rodri,MCI,7,630,0.0,0.0,0.0,0.10,0.10,0.12,3.98,3.81,0.01,0.01,0.02,0.03,0.03,0.57,0.54
Laporte,Aymeric,MCI,3,270,0.0,0.0,0.0,0.14,0.14,0.09,1.79,1.79,0.05,0.05,0.03,0.08,0.08,0.60,0.60
Pulisic,Christian,CHE,3,177,0.0,0.0,0.0,0.23,0.23,0.06,0.87,0.66,0.12,0.12,0.03,0.15,0.15,0.44,0.33
Zinchenko,Oleksandr,MCI,1,11,0.0,0.0,0.0,0.00,0.00,0.00,0.12,0.12,0.00,0.00,0.00,0.00,0.00,1.00,1.00
Diop,Issa,WHU,3,207,0.0,0.0,0.0,0.00,0.00,0.00,0.03,0.03,0.00,0.00,0.00,0.00,0.00,0.01,0.01
Le,Maxime,FUL,2,118,0.0,0.0,0.0,0.01,0.01,0.00,0.25,0.25,0.01,0.01,0.00,0.01,0.01,0.19,0.19
Mendy,Benjamin,MCI,3,252,0.0,0.0,0.0,0.03,0.03,0.06,0.47,0.45,0.01,0.01,0.02,0.03,0.03,0.17,0.16
Fabinho,Fabinho,LIV,6,480,0.0,0.0,0.0,0.05,0.05,0.10,2.15,2.05,0.01,0.01,0.02,0.03,0.03,0.40,0.38
Moutinho,João,WOL,7,363,0.0,0.0,0.0,0.05,0.05,0.34,0.84,0.67,0.01,0.01,0.08,0.10,0.10,0.21,0.17
Benrahma,Said,WHU,2,19,0.0,0.0,1.0,0.17,0.17,0.38,0.58,0.03,0.83,0.83,1.78,2.61,2.61,2.74,0.13
Silva,Bernardo,MCI,5,299,0.0,0.0,0.0,0.25,0.25,0.06,2.04,1.73,0.08,0.08,0.02,0.09,0.09,0.61,0.52
Cavaleiro,Ivan,FUL,7,431,0.0,0.0,0.0,0.11,0.11,0.29,0.87,0.63,0.02,0.02,0.06,0.08,0.08,0.18,0.13
Hegazy,Ahmed,WBA,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.18,0.18,0.00,0.00,0.00,0.00,0.00,0.18,0.18
Furlong,Darnell,WBA,7,610,0.0,0.0,1.0,0.24,0.24,1.05,1.04,0.40,0.04,0.04,0.15,0.19,0.19,0.15,0.06
Martinez,Emiliano,AVL,7,630,0.0,0.0,0.0,0.00,0.00,0.00,1.45,1.45,0.00,0.00,0.00,0.00,0.00,0.21,0.21
Barnes,Ashley,BUR,5,395,0.0,0.0,0.0,0.64,0.64,0.22,0.94,0.31,0.15,0.15,0.05,0.19,0.19,0.21,0.07
Ajayi,Semi,WBA,7,630,0.0,0.0,0.0,0.00,0.00,0.00,0.26,0.26,0.00,0.00,0.00,0.00,0.00,0.04,0.04
Kamara,Aboubakar,FUL,5,221,0.0,0.0,0.0,0.64,0.64,0.14,0.85,0.13,0.26,0.26,0.06,0.32,0.32,0.35,0.05
Kepa,Kepa,CHE,3,270,0.0,0.0,0.0,0.00,0.00,0.00,0.13,0.13,0.00,0.00,0.00,0.00,0.00,0.04,0.04
Bernardo,Bernardo,BHA,1,21,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Keita,Naby,LIV,4,254,0.0,0.0,0.0,0.30,0.30,0.06,2.05,1.69,0.11,0.11,0.02,0.13,0.13,0.73,0.60
Burke,Oliver,SHU,4,255,0.0,0.0,0.0,0.25,0.25,0.14,0.43,0.04,0.09,0.09,0.05,0.14,0.14,0.15,0.01
Söyüncü,Caglar,LEI,4,360,0.0,0.0,0.0,0.10,0.10,0.11,0.49,0.49,0.03,0.03,0.03,0.05,0.05,0.12,0.12
Hector,Michael,FUL,3,242,0.0,0.0,0.0,0.09,0.09,0.02,0.39,0.37,0.03,0.03,0.01,0.04,0.04,0.15,0.14
Ndidi,Wilfred,LEI,2,180,0.0,0.0,0.0,0.00,0.00,0.00,0.57,0.57,0.00,0.00,0.00,0.00,0.00,0.29,0.29
Milivojevic,Luka,CRY,6,221,0.0,0.0,0.0,0.13,0.13,0.16,0.72,0.72,0.05,0.05,0.07,0.12,0.12,0.29,0.29
Pope,Nick,BUR,7,630,0.0,0.0,0.0,0.00,0.00,0.00,0.2,0.20,0.00,0.00,0.00,0.00,0.00,0.03,0.03
Rice,Declan,WHU,8,720,0.0,0.0,0.0,0.17,0.17,0.26,1.62,1.36,0.02,0.02,0.03,0.05,0.05,0.20,0.17
McTominay,Scott,MUN,6,485,0.0,0.0,0.0,0.16,0.16,0.43,1.44,1.19,0.03,0.03,0.08,0.11,0.11,0.27,0.22
Harper,Rekeem,WBA,1,20,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Brewster,Rhian,SHU,4,235,0.0,0.0,0.0,0.57,0.57,0.13,0.81,0.10,0.22,0.22,0.05,0.27,0.27,0.31,0.04
Adarabioyo,Tosin,FUL,4,360,0.0,0.0,0.0,0.06,0.06,0.00,0.27,0.27,0.02,0.02,0.00,0.02,0.02,0.07,0.07
James,Daniel,MUN,3,188,0.0,0.0,0.0,0.29,0.29,0.12,0.55,0.16,0.14,0.14,0.06,0.20,0.20,0.26,0.07
Ramsdale,Aaron,SHU,8,720,0.0,0.0,0.0,0.00,0.00,0.05,0.65,0.60,0.00,0.00,0.01,0.01,0.01,0.08,0.07
El,Anwar,AVL,1,1,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Lo,Giovani,TOT,5,177,0.0,0.0,0.0,0.95,0.95,0.38,2.11,1.21,0.48,0.48,0.19,0.68,0.68,1.07,0.62
Marçal,Fernando,WOL,5,131,0.0,0.0,0.0,0.06,0.06,0.08,0.6,0.46,0.04,0.04,0.06,0.10,0.10,0.41,0.31
Tete,Kenny,FUL,2,128,0.0,0.0,1.0,0.00,0.00,0.19,0.29,0.10,0.00,0.00,0.13,0.13,0.13,0.20,0.07
Bednarek,Jan,SOU,8,635,0.0,0.0,0.0,0.24,0.24,0.04,1.58,1.54,0.03,0.03,0.01,0.04,0.04,0.22,0.22
