Player,Team,Role,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Johnstone,WBA,GKP,4.5,0.8%,5.0,17.0,450.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,0.0,0.0,23.0,2.0,105.0,159.8,0.0,0.0,16.0,5.0,0.0,1.1,3.8,3.4,33331.0,30390.0,0.0,0.0
Livermore,WBA,MID,4.9,0.1%,1.7,9.0,450.0,0.0,0.0,1.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,35.0,46.8,25.3,21.0,9.2,1.7,0.0,0.3,1.8,1.8,3172.0,8062.0,-1.0,1.0
Fabianski,WHU,GKP,5.0,1.5%,5.0,17.0,450.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,81.0,46.4,0.0,0.0,4.7,5.0,0.0,1.0,3.4,3.4,26027.0,47569.0,0.0,0.0
Ogbonna,WHU,DEF,4.9,0.4%,4.0,14.0,450.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,77.0,99.8,13.5,33.0,14.6,4.0,0.0,0.8,2.9,2.8,8559.0,14180.0,-1.0,1.0
Cresswell,WHU,DEF,5.0,5.4%,9.0,29.0,450.0,0.0,3.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,144.0,158.6,185.2,1.0,34.5,9.0,1.0,1.8,5.8,5.8,332387.0,74906.0,0.0,0.0
Rice,WHU,MID,4.9,2.9%,2.7,12.0,450.0,0.0,0.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81.0,81.4,61.1,30.0,17.3,2.7,0.0,0.6,2.4,2.4,48831.0,177414.0,-1.0,1.0
Soucek,WHU,MID,4.9,2.9%,3.3,14.0,450.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,46.0,48.0,162.0,25.6,3.3,0.0,0.7,2.9,2.8,83587.0,255383.0,-1.0,1.0
Patrício,WOL,GKP,5.5,7.7%,4.3,22.0,450.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,110.0,119.2,0.0,0.0,11.8,4.3,0.0,0.8,4.0,4.4,242886.0,161727.0,0.0,0.0
Boly,WOL,DEF,5.5,2.5%,4.7,21.0,450.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,85.8,3.2,22.0,11.1,4.7,0.0,0.9,3.8,4.2,68556.0,74354.0,0.0,0.0
Coady,WOL,DEF,5.0,8.8%,3.7,20.0,450.0,0.0,0.0,3.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,92.0,69.8,11.5,0.0,8.2,3.7,0.0,0.7,4.0,4.0,239940.0,248922.0,0.0,0.0
Saïss,WOL,DEF,5.2,17.6%,5.0,31.0,450.0,1.0,0.0,3.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,112.0,114.8,19.5,60.0,19.6,5.0,1.0,1.0,6.0,6.2,1195034.0,319097.0,2.0,-2.0
Jiménez,WOL,FWD,8.5,19.9%,3.3,24.0,450.0,3.0,0.0,3.0,7.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0,86.0,118.6,25.2,183.0,32.8,3.3,0.0,0.4,2.8,4.8,990525.0,923038.0,0.0,0.0
Werner,CHE,FWD,9.3,21.2%,6.7,27.0,449.0,2.0,2.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,99.0,115.8,57.0,231.0,40.4,6.7,1.0,0.7,2.9,5.4,606120.0,2276160.0,-2.0,2.0
Alexander-Arnold,LIV,DEF,7.5,36.1%,2.3,15.0,448.0,0.0,1.0,1.0,13.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,99.0,83.0,143.8,48.0,27.4,2.3,0.0,0.3,2.0,3.0,324194.0,1355800.0,0.0,0.0
Wilson,NEW,FWD,6.5,13.6%,8.7,36.0,444.0,4.0,1.0,1.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,7.0,126.0,158.6,60.0,190.0,40.6,8.7,1.0,1.3,5.5,7.2,935843.0,691897.0,0.0,0.0
Kane,TOT,FWD,10.8,37.8%,12.3,60.0,443.0,5.0,7.0,0.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,228.0,343.4,148.3,336.0,82.8,12.3,3.0,1.1,5.6,12.0,1955730.0,491124.0,3.0,-3.0
Kanté,CHE,MID,4.9,3.4%,2.0,10.0,442.0,0.0,0.0,1.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,71.4,22.0,11.0,10.5,2.0,0.0,0.4,2.0,2.0,96527.0,199902.0,-1.0,1.0
White,BHA,DEF,4.5,1.4%,0.7,9.0,438.0,0.0,0.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,74.0,89.0,28.3,8.0,12.7,0.7,0.0,0.2,2.0,1.8,40243.0,59156.0,0.0,0.0
March,BHA,MID,5.0,1.2%,5.3,21.0,437.0,1.0,1.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,98.0,117.4,120.3,104.0,34.2,5.3,0.0,1.1,4.2,4.2,110964.0,40760.0,0.0,0.0
Trossard,BHA,MID,6.0,2.4%,2.7,22.0,437.0,1.0,2.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,63.0,73.4,134.6,99.0,30.5,2.7,0.0,0.4,3.7,4.4,221709.0,103753.0,0.0,0.0
Mendy,LEI,MID,4.5,3.1%,3.0,13.0,435.0,0.0,1.0,2.0,7.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,61.0,68.6,41.9,8.0,11.8,3.0,0.0,0.7,2.9,2.6,264021.0,118937.0,0.0,0.0
Bowen,WHU,MID,6.3,2.1%,8.3,29.0,434.0,3.0,0.0,2.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,93.0,125.2,57.0,158.0,34.1,8.3,1.0,1.3,4.6,5.8,136136.0,108062.0,-2.0,2.0
