Player,Season,Gameweek,Opponent,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Ivanovic,21,8,TOT,WBA,,DEF,0.1,2.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,10.9,57,12.9,2.2,0,0.5,2,3,479,1578,0,0,3,0,0,0,0,0,0,0.12,0.12,0.02,0.14,0.14,0.08,0.08,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Gibbs,21,8,TOT,WBA,,DEF,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.4,13.2,2,2.3,0,0,0,-0.7,-1.5,183,1248,-1,1,2,0,0,0,0,0,0,0,0,0.01,0.01,0.01,0.2,0.19,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Edwards,21,8,TOT,WBA,,MID,0,0.5,1,1,0,0,0,0,0,0,0,0,0,0,0,1,13,12.8,39,6.4,0.5,0,0.1,1,1,48,103,-2,2,5,0,0,0,0,0,0,0.1,0.1,0.02,0.11,0.11,0.16,0.04,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Robson-Kanu,21,8,TOT,WBA,,FWD,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.2,10.7,16,3.4,0,0,0,0.6,1,34,624,-3,3,3,0,0,0,0,0,0,0.09,0.09,0.03,0.12,0.12,0.12,0.03,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Phillips,21,8,TOT,WBA,,MID,0,0.8,1,6,0,0,0,1,0,0,0,0,0,0,0,3,15,25.7,14,5.5,0.8,0,0.2,1,0.8,137,270,-4,4,6,0,0,0,0,0,0,0.03,0.03,0.22,0.25,0.25,0.22,0,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Field,21,8,TOT,WBA,,MID,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0.5,0,2,0,0,0,0.6,1,20,81,-2,2,3,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Harper,21,8,TOT,WBA,,MID,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.8,1.8,0,0.4,0,0,0,0.2,1,2730,2795,-1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Hegazi,21,8,TOT,WBA,,DEF,0.3,1.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.6,0.3,0,2,1.5,0,0.4,1.4,6,103,3712,-3,3,1,0,0,0,0,0,0,0,0,0,0,0,0.18,0.18,18,1,0,0,1,0,1,0,0.8,0.8,1.87,1.87,-1.07,-0.03,-0.15,6,4,0.58
Fred,21,8,eve,MUN,,MID,0.2,1.8,1,90,0,0,0,1,0,0,0,1,0,0,0,14,48.8,51,11,11,1.8,0,0.3,1.7,1.5,1306,989,-2,2,6,0,0,0,0.61,0.58,0.26,0.02,0.02,0.15,0.18,0.18,0.24,0.16,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
de Gea,21,8,eve,MUN,,GKP,3.8,3.2,2,90,0,0,0,1,0,0,0,0,0,0,0,7,105.8,0,0,10.7,3.2,0,0.6,2.8,2.1,5838,10619,-1,1,7,0,0,0,0,0,0,0,0,0,0,0,0.01,0.01,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Maguire,21,8,eve,MUN,,DEF,3.1,4.5,2,90,0,0,0,1,0,0,0,0,0,0,0,14,129.2,30.1,118,27.8,4.5,0,0.8,3.9,3,10625,10904,-1,1,7,0,0.08,0.08,0,0.83,0.84,0.06,0.06,0.01,0.07,0.07,0.32,0.31,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Rashford,21,8,eve,MUN,,MID,8.6,6,5,90,0,1,0,1,0,0,0,0,0,0,0,11,168,181.7,244,59.4,6,0,0.6,3.6,5,48564,84346,1,-1,7,0,0.36,0.36,0.16,0.74,0.26,0.26,0.26,0.09,0.35,0.35,0.41,0.13,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Shaw,21,8,eve,MUN,,DEF,1,3.5,7,66,0,1,0,1,0,0,0,0,0,0,2,30,113.4,113.8,29,25.8,3.5,0,0.7,2.9,2,3795,6312,-1,1,7,0,0,0,0.22,0.28,0.06,0.01,0.01,0.07,0.07,0.07,0.18,0.13,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Fernandes,21,8,eve,MUN,,MID,22.4,8.2,17,90,2,1,0,1,0,0,0,1,0,0,3,51,328.4,314.1,205,84.8,8.2,1,0.8,5,7.6,178271,97919,0,0,7,2,0.37,0.37,0.42,0.75,0.28,0.48,0.13,0.29,0.77,0.41,0.44,0.13,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Lindelöf,21,8,eve,MUN,,DEF,1.2,3,2,90,0,0,0,1,0,0,0,0,0,0,0,15,100.8,17.7,8,12.7,3,0,0.6,2.9,2.3,3392,6310,-1,1,6,0,0,0,0,0.22,0.22,0.02,0.02,0.01,0.04,0.04,0.16,0.16,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Wan-Bissaka,21,8,eve,MUN,,DEF,8.7,4.5,2,90,0,0,0,1,0,0,0,0,0,0,0,6,127.8,37.2,48,21.2,4.5,0,0.8,3.3,3,18813,29725,-1,1,6,0,0,0,0,0.05,0.05,0.02,0.02,0.01,0.03,0.03,0.11,0.08,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
McTominay,21,8,eve,MUN,,MID,0.3,2.2,2,90,0,0,0,1,0,0,0,0,0,0,0,12,85.4,104.4,56,24.5,2.2,0,0.4,2.4,2,1885,1614,-1,1,6,0,0,0,0.02,0.27,0.25,0.03,0.03,0.08,0.11,0.11,0.27,0.22,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Pogba,21,8,eve,MUN,,MID,1.2,1.2,1,8,0,0,0,0,0,0,0,0,0,0,0,0,35,48.7,46,12.6,1.2,0,0.2,1.4,1.6,1733,8789,-2,2,7,0,0,0,0,0,0,0.04,0.04,0.01,0.05,0.05,0.23,0.18,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Martial,21,8,eve,MUN,,FWD,3.8,0.5,2,81,0,0,0,1,0,0,0,0,0,0,0,-4,3.6,14.5,72,8.6,0.5,0,0.1,0.8,1.8,21703,8750,-3,3,4,0,0.3,0.3,0,0.25,0.24,0.11,0.11,0,0.11,0.11,0.09,0.09,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Greenwood,21,8,eve,MUN,,MID,2.7,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.2,35.3,71,12.1,0.5,0,0.1,1,1.4,2786,25599,-3,3,5,0,0,0,0,0,0,0.19,0.19,0.06,0.26,0.26,0.24,0.01,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Mata,21,8,eve,MUN,,MID,0.1,2,2,81,0,0,0,1,0,0,0,0,0,0,0,4,41,88.4,42,17.1,2,0,0.3,1.4,2.7,569,859,-1,1,3,0,0.07,0.07,0,0.29,0.23,0.07,0.07,0.07,0.14,0.14,0.31,0.23,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
James,21,8,eve,MUN,,MID,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.2,42.4,86,14.2,0.5,0,0.1,0.5,1,212,1001,-2,2,3,0,0,0,0,0,0,0.14,0.14,0.06,0.2,0.2,0.26,0.07,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Matic,21,8,eve,MUN,,MID,0.2,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37.8,30.5,20,8.8,0.5,0,0.1,1.5,1.8,326,1178,-2,2,4,0,0,0,0,0,0,0.02,0.02,0.03,0.06,0.06,0.41,0.36,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Bailly,21,8,eve,MUN,,DEF,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,25,0.1,0,2.5,0,0,0,-0.2,-0.5,28,997,-1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
Fosu-Mensah,21,8,eve,MUN,,DEF,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.8,30.5,16,6.4,0,0,0,0,0,123,448,-1,1,1,0,0,0,0,0,0,0.02,0.02,0.32,0.34,0.34,0.43,0.38,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
van de Beek,21,8,eve,MUN,,MID,1.9,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,42,21.4,39,10.2,0.5,0,0.1,1.5,2,1108,14602,-3,3,5,0,0,0,0,0,0,0.39,0.39,0.06,0.46,0.46,0.88,0.42,14,1,1,0,0,3,1,3,1.59,1.6,0.37,0.38,1.22,0.03,0.25,7,9,2.38
