Player,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
DianganaWBAMID,5.5,0.6%,2.3,16.0,413.0,1.0,0.0,1.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,80.4,54.3,82.0,21.7,2.3,0.0,0.4,2.9,3.2,38556.0,36622.0,0.0,0.0
DoucouréEVEMID,5.4,1.5%,3.0,13.0,411.0,0.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,83.0,80.8,97.7,47.0,22.5,3.0,0.0,0.6,2.4,2.6,61990.0,130002.0,-1.0,1.0
Oriol RomeuSOUMID,4.5,4.1%,5.0,17.0,410.0,1.0,0.0,2.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,3.0,60.0,105.6,36.2,28.0,17.0,5.0,0.0,1.1,3.8,3.4,159937.0,165870.0,0.0,0.0
FirminoLIVFWD,9.3,2.7%,3.0,15.0,409.0,0.0,2.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,71.0,70.0,118.0,178.0,36.6,3.0,0.0,0.3,1.6,3.0,61709.0,190800.0,-2.0,2.0
FornalsWHUMID,6.4,0.4%,7.7,27.0,409.0,1.0,3.0,2.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,80.0,86.6,64.1,88.0,23.9,7.7,0.0,1.2,4.2,5.4,19801.0,9879.0,-1.0,1.0
HaydenNEWMID,4.9,0.1%,1.3,8.0,408.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,41.0,54.6,27.8,23.0,10.6,1.3,0.0,0.3,1.6,1.6,1923.0,4604.0,-1.0,1.0
AdamsSOUFWD,5.8,1.6%,6.0,21.0,407.0,1.0,2.0,2.0,8.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,57.0,93.2,65.0,179.0,33.8,6.0,1.0,1.0,3.6,4.2,64188.0,250710.0,-2.0,2.0
BednarekSOUDEF,4.5,2.2%,5.0,16.0,405.0,0.0,0.0,2.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,89.0,69.8,14.4,21.0,10.5,5.0,0.0,1.1,3.6,3.2,33274.0,86312.0,0.0,0.0
HavertzCHEMID,8.4,8.9%,6.0,21.0,394.0,1.0,2.0,1.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,93.0,92.6,67.0,25.3,6.0,0.0,0.7,2.5,4.2,420094.0,678503.0,-1.0,1.0
FabinhoLIVMID,5.5,1.5%,1.7,12.0,392.0,0.0,1.0,1.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,75.0,32.6,5.0,11.4,1.7,0.0,0.3,2.2,2.4,53213.0,72432.0,0.0,0.0
AnguissaFULMID,4.5,2.4%,1.7,11.0,387.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,76.0,104.2,94.2,40.0,23.9,1.7,0.0,0.4,2.4,2.2,217971.0,117927.0,0.0,0.0
