Player,Season,Gameweek,Opponent,Team,Home,Role,Cost,Sel.,Form,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Kovacic,21,11,LEE,CHE,1,MID,5.3,0.30%,2.3,403,0,1,2,6,0,0,0,0,0,0,0,90,76.4,90.1,34,20,2.3,0,0.4,3,2.3,24156,29748,-2,2,7,0,0.15,0.15,0.46,3.82,3.62,0.03,0.03,0.1,0.13,0.13,0.85,0.8,3,11,6,4,1,25,11,22,21.05,18.01,9.56,9.56,8.45,10.58,19,83,52,21.83,14,1.454545455,1.818181818,1.272727273,1.628181818,1.559090909,1.913636364,1.637272727,-0.077272727,0.600909091,1.214545455,8.272727273,7.727272727,1.340909091,0
Ziyech,21,11,LEE,CHE,1,MID,8.2,11.60%,2,386,1,3,3,3,0,0,0,1,0,0,6,112,126.6,181.4,69,37.8,2,2,0.2,4,4.7,1557039,881503,2,-2,7,1,0.33,0.33,2.7,2.94,1.49,0.08,0.08,0.62,0.7,0.7,0.68,0.34,3,11,6,4,1,25,11,22,21.05,18.01,9.56,9.56,8.45,10.58,19,83,52,21.83,14,1.454545455,1.818181818,1.272727273,1.628181818,1.559090909,1.913636364,1.637272727,-0.077272727,0.600909091,1.214545455,8.272727273,7.727272727,1.340909091,0
Azpilicueta,21,11,LEE,CHE,1,DEF,5.7,2.90%,0,320,0,1,2,3,0,0,0,1,0,0,0,72,71.8,39.2,33,14.4,0,0,0,3,3.4,77226,400722,-3,3,5,0,0.06,0.06,0.03,1.06,0.98,0.02,0.02,0.01,0.03,0.03,0.3,0.28,3,11,6,4,1,25,11,22,21.05,18.01,9.56,9.56,8.45,10.58,19,83,52,21.83,14,1.454545455,1.818181818,1.272727273,1.628181818,1.559090909,1.913636364,1.637272727,-0.077272727,0.600909091,1.214545455,8.272727273,7.727272727,1.340909091,0
Christensen,21,11,LEE,CHE,1,DEF,4.7,0.20%,0,315,0,0,0,9,0,0,0,1,1,0,0,41,70,4.1,20,9.5,0,0,0,0,0,8718,22263,-3,3,4,0,0.05,0.05,0,1.38,1.38,0.01,0.01,0,0.01,0.01,0.39,0.39,3,11,6,4,1,25,11,22,21.05,18.01,9.56,9.56,8.45,10.58,19,83,52,21.83,14,1.454545455,1.818181818,1.272727273,1.628181818,1.559090909,1.913636364,1.637272727,-0.077272727,0.600909091,1.214545455,8.272727273,7.727272727,1.340909091,0
Pulisic,21,11,LEE,CHE,1,MID,8.2,2.20%,3,249,1,0,2,2,0,0,0,0,0,0,0,47,67,17.8,161,24.6,3,0,0.4,1.8,3,300471,867207,-3,3,5,1,1.13,1.13,0.06,1.79,0.7,0.4,0.4,0.02,0.42,0.42,0.64,0.25,3,11,6,4,1,25,11,22,21.05,18.01,9.56,9.56,8.45,10.58,19,83,52,21.83,14,1.454545455,1.818181818,1.272727273,1.628181818,1.559090909,1.913636364,1.637272727,-0.077272727,0.600909091,1.214545455,8.272727273,7.727272727,1.340909091,0
Alonso,21,11,LEE,CHE,1,DEF,5.7,1.60%,0,225,0,0,0,6,0,0,0,1,0,0,0,36,37,28.1,20,8.5,0,0,0,0.4,0.7,38723,182425,-3,3,3,0,0.08,0.08,0.02,0.3,0.27,0.03,0.03,0.01,0.04,0.04,0.12,0.1,3,11,6,4,1,25,11,22,21.05,18.01,9.56,9.56,8.45,10.58,19,83,52,21.83,14,1.454545455,1.818181818,1.272727273,1.628181818,1.559090909,1.913636364,1.637272727,-0.077272727,0.600909091,1.214545455,8.272727273,7.727272727,1.340909091,0
Hudson-Odoi,21,11,LEE,CHE,1,MID,5.7,0.20%,0.3,168,1,0,1,0,0,0,0,0,0,0,0,50,49.6,72.6,65,18.7,0.3,0,0.1,2.1,2.4,23267,44483,-3,3,5,1,0.22,0.22,0.48,0.87,0.51,0.12,0.12,0.27,0.39,0.39,0.49,0.29,3,11,6,4,1,25,11,22,21.05,18.01,9.56,9.56,8.45,10.58,19,83,52,21.83,14,1.454545455,1.818181818,1.272727273,1.628181818,1.559090909,1.913636364,1.637272727,-0.077272727,0.600909091,1.214545455,8.272727273,7.727272727,1.340909091,0
Giroud,21,11,LEE,CHE,1,FWD,6.7,1.20%,2.7,125,1,0,0,1,0,0,0,0,0,0,0,35,38.8,41.9,90,17.1,2.7,0,0.4,1.6,1.8,57141,76916,-3,3,6,1,1.62,1.62,1.03,1.35,0.06,1.19,1.19,0.76,1.95,1.95,1,0.04,3,11,6,4,1,25,11,22,21.05,18.01,9.56,9.56,8.45,10.58,19,83,52,21.83,14,1.454545455,1.818181818,1.272727273,1.628181818,1.559090909,1.913636364,1.637272727,-0.077272727,0.600909091,1.214545455,8.272727273,7.727272727,1.340909091,0
Caballero,21,11,LEE,CHE,1,GKP,4.7,0.20%,0,90,0,0,0,3,0,0,0,0,0,0,0,7,4.2,0,0,0.4,0,0,0,0.2,1,4828,18473,-3,3,1,0,0,0,0,0.14,0.14,0,0,0,0,0,0.14,0.14,3,11,6,4,1,25,11,22,21.05,18.01,9.56,9.56,8.45,10.58,19,83,52,21.83,14,1.454545455,1.818181818,1.272727273,1.628181818,1.559090909,1.913636364,1.637272727,-0.077272727,0.600909091,1.214545455,8.272727273,7.727272727,1.340909091,0
Rüdiger,21,11,LEE,CHE,1,DEF,4.5,0.70%,2,90,0,0,1,0,0,0,0,0,0,0,0,25,25.4,1.3,0,2.7,2,0,0.4,1.3,6,23656,134257,-5,5,1,0,0,0,0,0.57,0.57,0,0,0,0,0,0.57,0.57,3,11,6,4,1,25,11,22,21.05,18.01,9.56,9.56,8.45,10.58,19,83,52,21.83,14,1.454545455,1.818181818,1.272727273,1.628181818,1.559090909,1.913636364,1.637272727,-0.077272727,0.600909091,1.214545455,8.272727273,7.727272727,1.340909091,0
