Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Delap,21,18,BHA,MCI,1.0,4.4,FWD,1.1%,0.0,1.0,39.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.2,0.0,0.0,0.0,0.2,1.0,202868.0,152186.0,-1.0,1.0,1,0.0,0.06,0.06,0.0,0.06,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,0.0
Rodrigo,21,18,BHA,MCI,1.0,5.4,MID,0.4%,2.0,30.0,1271.0,0.0,0.0,5.0,13.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,205.0,226.4,212.8,142.0,58.2,2.0,0.0,0.4,5.6,2.0,37681.0,53036.0,-1.0,1.0,15,0.0,0.7,0.7,0.48,9.87,9.28,0.05,0.05,0.03,0.08,0.08,0.7,0.65,5,15,8,5,2.0,24.0,13,29,29.33,27.05,12.89,9.84,17.21,10.51,19.95,157.0,53.0,31.43,17,1.2352941176470589,1.6470588235294117,0.8235294117647058,1.5141176470588233,1.2452941176470589,1.2152941176470589,0.9470588235294118,0.2988235294117647,0.5758823529411764,0.7635294117647059,7.0,4.529411764705882,1.5629411764705883,3.0
Douglas Luiz,21,18,TOT,AVL,1.0,4.9,MID,0.2%,1.7,33.0,1223.0,0.0,1.0,7.0,16.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,166.0,177.8,168.8,67.0,41.6,1.7,0.0,0.3,6.7,2.4,22643.0,35595.0,-1.0,1.0,14,0.0,0.29,0.29,0.98,5.29,4.16,0.02,0.02,0.07,0.09,0.09,0.38,0.3,8,15,8,2,5.0,29.0,16,26,29.46,26.41,16.9,15.38,11.04,10.28,8.14,129.0,101.0,28.04,4,1.8125,0.9375,1.8125,1.511875,1.369375,1.18,0.989375,0.38,0.766875,0.715,4.25,7.5625,1.533125,0.0
Trézéguet,21,18,TOT,AVL,1.0,5.2,MID,0.5%,0.0,25.0,715.0,0.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,111.8,121.6,324.0,55.6,0.0,0.0,0.0,4.8,2.8,57586.0,127031.0,-3.0,3.0,9,0.0,2.53,2.53,2.01,4.73,1.06,0.31,0.31,0.25,0.56,0.56,0.58,0.13,8,15,8,2,5.0,29.0,16,26,29.46,26.41,16.9,15.38,11.04,10.28,8.14,129.0,101.0,28.04,4,1.8125,0.9375,1.8125,1.511875,1.369375,1.18,0.989375,0.38,0.766875,0.715,4.25,7.5625,1.533125,0.0
Targett,21,18,TOT,AVL,1.0,4.6,DEF,4.9%,4.3,56.0,1350.0,0.0,1.0,8.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,269.0,214.4,200.8,56.0,47.4,4.3,1.0,0.9,12.2,3.7,512115.0,221851.0,1.0,-1.0,15,0.0,0.18,0.18,0.67,3.78,3.5,0.01,0.01,0.04,0.06,0.06,0.25,0.23,8,15,8,2,5.0,29.0,16,26,29.46,26.41,16.9,15.38,11.04,10.28,8.14,129.0,101.0,28.04,4,1.8125,0.9375,1.8125,1.511875,1.369375,1.18,0.989375,0.38,0.766875,0.715,4.25,7.5625,1.533125,0.0
Grealish,21,18,TOT,AVL,1.0,7.7,MID,38.4%,4.3,97.0,1350.0,5.0,9.0,8.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,11.0,374.0,502.8,700.6,724.0,192.5,4.3,2.0,0.6,12.6,6.5,4221991.0,2206127.0,7.0,,15,5.0,4.16,4.16,7.21,12.79,4.68,0.28,0.28,0.48,0.76,0.76,0.85,0.31,8,15,8,2,5.0,29.0,16,26,29.46,26.41,16.9,15.38,11.04,10.28,8.14,129.0,101.0,28.04,4,1.8125,0.9375,1.8125,1.511875,1.369375,1.18,0.989375,0.38,0.766875,0.715,4.25,7.5625,1.533125,0.0
McGinn,21,18,TOT,AVL,1.0,5.5,MID,1.4%,3.0,56.0,1350.0,1.0,5.0,8.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,219.0,240.8,279.0,151.0,67.0,3.0,0.0,0.5,10.2,3.7,306960.0,254969.0,0.0,0.0,15,1.0,0.77,0.77,1.85,7.6,5.27,0.05,0.05,0.12,0.17,0.17,0.51,0.35,8,15,8,2,5.0,29.0,16,26,29.46,26.41,16.9,15.38,11.04,10.28,8.14,129.0,101.0,28.04,4,1.8125,0.9375,1.8125,1.511875,1.369375,1.18,0.989375,0.38,0.766875,0.715,4.25,7.5625,1.533125,0.0
Watkins,21,18,TOT,AVL,1.0,6.1,FWD,8.3%,3.3,69.0,1350.0,6.0,4.0,8.0,16.0,0.0,0.0,1.0,1.0,0.0,0.0,6.0,216.0,331.0,267.7,722.0,131.4,3.3,3.0,0.5,11.3,4.6,1375746.0,879773.0,1.0,-1.0,15,5.0,9.09,7.56,2.03,10.74,3.18,0.61,0.5,0.14,0.74,0.64,0.72,0.21,8,15,8,2,5.0,29.0,16,26,29.46,26.41,16.9,15.38,11.04,10.28,8.14,129.0,101.0,28.04,4,1.8125,0.9375,1.8125,1.511875,1.369375,1.18,0.989375,0.38,0.766875,0.715,4.25,7.5625,1.533125,0.0
Cash,21,18,TOT,AVL,1.0,5.0,DEF,1.2%,4.2,53.0,1222.0,0.0,2.0,7.0,16.0,0.0,0.0,0.0,5.0,0.0,0.0,3.0,274.0,289.2,205.6,59.0,55.4,4.2,0.0,0.8,10.6,3.8,116024.0,67907.0,0.0,0.0,14,0.0,0.16,0.16,1.06,3.62,2.81,0.01,0.01,0.08,0.09,0.09,0.26,0.21,8,15,8,2,5.0,29.0,16,26,29.46,26.41,16.9,15.38,11.04,10.28,8.14,129.0,101.0,28.04,4,1.8125,0.9375,1.8125,1.511875,1.369375,1.18,0.989375,0.38,0.766875,0.715,4.25,7.5625,1.533125,0.0
Mings,21,18,TOT,AVL,1.0,5.4,DEF,9.7%,3.0,62.0,1214.0,2.0,1.0,7.0,15.0,0.0,0.0,0.0,3.0,1.0,0.0,5.0,265.0,297.2,61.9,139.0,50.0,3.0,2.0,0.6,11.5,4.4,1373725.0,875236.0,4.0,,14,2.0,1.55,1.55,0.18,2.99,2.86,0.12,0.12,0.01,0.13,0.13,0.22,0.21,8,15,8,2,5.0,29.0,16,26,29.46,26.41,16.9,15.38,11.04,10.28,8.14,129.0,101.0,28.04,4,1.8125,0.9375,1.8125,1.511875,1.369375,1.18,0.989375,0.38,0.766875,0.715,4.25,7.5625,1.533125,0.0
