Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
de Gea,21,9,WBA,MUN,1,5.4,GKP,3.8%,3.2,630.0,0.0,0.0,1.0,14.0,0.0,0.0,0.0,0.0,0.0,13.0,0.0,89.0,105.8,0.0,0.0,10.7,3.2,0.0,0.6,2.8,2.1,84949.0,150606.0,-1.0,1.0,7,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.0,0.0,0.0,0.0,0.01,0.01,14,7,3,1,3.0,12.0,14,10,8.4,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47,18,0.75,2.125,0.375,0.50625,0.50625,1.94375,1.75375,-1.2475,2.0825,1.10125,4.0,5.125,0.495,6.0
Maguire,21,9,WBA,MUN,1,5.4,DEF,3.1%,4.5,630.0,1.0,1.0,1.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,123.0,129.2,30.1,118.0,27.8,4.5,1.0,0.8,3.9,3.0,110978.0,183541.0,-1.0,1.0,7,1.0,0.43,0.43,0.09,2.24,2.17,0.06,0.06,0.01,0.07,0.07,0.32,0.31,14,7,3,1,3.0,12.0,14,10,8.4,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47,18,0.75,2.125,0.375,0.50625,0.50625,1.94375,1.75375,-1.2475,2.0825,1.10125,4.0,5.125,0.495,6.0
Rashford,21,9,WBA,MUN,1,9.6,MID,8.6%,6.0,630.0,2.0,3.0,1.0,14.0,0.0,0.0,0.0,1.0,0.0,0.0,2.0,97.0,168.0,181.7,244.0,59.4,6.0,1.0,0.6,3.6,5.0,744821.0,503404.0,1.0,-1.0,7,2.0,1.81,1.81,0.66,2.85,0.91,0.26,0.26,0.09,0.35,0.35,0.41,0.13,14,7,3,1,3.0,12.0,14,10,8.4,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47,18,0.75,2.125,0.375,0.50625,0.50625,1.94375,1.75375,-1.2475,2.0825,1.10125,4.0,5.125,0.495,3.0
Shaw,21,9,WBA,MUN,1,4.9,DEF,1.0%,3.5,606.0,0.0,1.0,1.0,14.0,1.0,0.0,0.0,2.0,0.0,0.0,2.0,110.0,113.4,113.8,29.0,25.8,3.5,0.0,0.7,2.9,2.0,73461.0,103341.0,-1.0,1.0,7,0.0,0.05,0.05,0.44,1.22,0.91,0.01,0.01,0.07,0.07,0.07,0.18,0.13,14,7,3,1,3.0,12.0,14,10,8.4,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47,18,0.75,2.125,0.375,0.50625,0.50625,1.94375,1.75375,-1.2475,2.0825,1.10125,4.0,5.125,0.495,0.0
Fernandes,21,9,WBA,MUN,1,10.5,MID,22.4%,8.2,569.0,5.0,3.0,1.0,12.0,0.0,0.0,1.0,2.0,0.0,0.0,9.0,195.0,328.4,314.1,205.0,84.8,8.2,3.0,0.8,5.0,7.6,1418083.0,1054528.0,0.0,0.0,7,3.0,3.09,0.8,1.82,2.8,0.86,0.48,0.13,0.29,0.77,0.41,0.44,0.13,14,7,3,1,3.0,12.0,14,10,8.4,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47,18,0.75,2.125,0.375,0.50625,0.50625,1.94375,1.75375,-1.2475,2.0825,1.10125,4.0,5.125,0.495,11.0
Lindelöf,21,9,WBA,MUN,1,4.9,DEF,1.2%,3.0,540.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,100.0,100.8,17.7,8.0,12.7,3.0,0.0,0.6,2.9,2.3,37579.0,86572.0,-1.0,1.0,6,0.0,0.13,0.13,0.09,0.98,0.98,0.02,0.02,0.01,0.04,0.04,0.16,0.16,14,7,3,1,3.0,12.0,14,10,8.4,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47,18,0.75,2.125,0.375,0.50625,0.50625,1.94375,1.75375,-1.2475,2.0825,1.10125,4.0,5.125,0.495,7.0
Wan-Bissaka,21,9,WBA,MUN,1,5.4,DEF,8.7%,4.5,540.0,1.0,0.0,1.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95.0,127.8,37.2,48.0,21.2,4.5,0.0,0.8,3.3,3.0,288111.0,523624.0,-1.0,1.0,6,1.0,0.14,0.14,0.05,0.66,0.47,0.02,0.02,0.01,0.03,0.03,0.11,0.08,14,7,3,1,3.0,12.0,14,10,8.4,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47,18,0.75,2.125,0.375,0.50625,0.50625,1.94375,1.75375,-1.2475,2.0825,1.10125,4.0,5.125,0.495,8.0
McTominay,21,9,WBA,MUN,1,4.9,MID,0.3%,2.2,487.0,0.0,0.0,1.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75.0,85.4,104.4,56.0,24.5,2.2,0.0,0.4,2.4,2.0,13722.0,19920.0,-1.0,1.0,6,0.0,0.16,0.16,0.43,1.44,1.19,0.03,0.03,0.08,0.11,0.11,0.27,0.22,14,7,3,1,3.0,12.0,14,10,8.4,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47,18,0.75,2.125,0.375,0.50625,0.50625,1.94375,1.75375,-1.2475,2.0825,1.10125,4.0,5.125,0.495,1.0
Pogba,21,9,WBA,MUN,1,7.8,MID,1.2%,1.2,371.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,35.0,48.7,46.0,12.6,1.2,0.0,0.2,1.4,1.6,70233.0,132193.0,-2.0,2.0,7,0.0,0.16,0.16,0.05,0.94,0.76,0.04,0.04,0.01,0.05,0.05,0.23,0.18,14,7,3,1,3.0,12.0,14,10,8.4,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47,18,0.75,2.125,0.375,0.50625,0.50625,1.94375,1.75375,-1.2475,2.0825,1.10125,4.0,5.125,0.495,0.0
Martial,21,9,WBA,MUN,1,8.7,FWD,3.8%,0.5,287.0,0.0,1.0,0.0,11.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,6.0,3.6,14.5,72.0,8.6,0.5,0.0,0.1,0.8,1.8,522766.0,1089681.0,-3.0,3.0,4,0.0,0.37,0.37,0.0,0.3,0.28,0.11,0.11,0.0,0.11,0.11,0.09,0.09,14,7,3,1,3.0,12.0,14,10,8.4,6.12,10.65,7.61,-1.49,12.08,10.59,53.0,42.0,8.47,18,0.75,2.125,0.375,0.50625,0.50625,1.94375,1.75375,-1.2475,2.0825,1.10125,4.0,5.125,0.495,2.0
