Player,Season,Gameweek,Opponent,Team,Home,Role,Cost,Sel.,Form,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Grealish,21,6,LEE,AVL,1,MID,7.2,26.3%,11.7,360.0,3.0,3.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,144.0,198.4,170.1,190.0,55.8,11.7,1.0,1.6,5.3,9.5,1412374.0,336575.0,2.0,-2.0,4,3.0,1.12,1.12,2.29,3.73,1.31,0.28,0.28,0.57,0.85,0.85,0.93,0.33,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,1.0
McGinn,21,6,LEE,AVL,1,MID,5.5,2.3%,8.3,360.0,1.0,4.0,3.0,2.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,101.0,138.4,142.7,64.0,34.5,8.3,0.0,1.5,4.9,6.8,160510.0,43028.0,0.0,0.0,4,1.0,0.17,0.17,1.33,2.45,1.14,0.04,0.04,0.33,0.37,0.37,0.61,0.28,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,2.0
Watkins,21,6,LEE,AVL,1,FWD,6.0,5.0%,7.7,360.0,3.0,1.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,81.0,137.0,69.6,168.0,37.4,7.7,1.0,1.3,4.2,6.2,404865.0,140004.0,0.0,0.0,4,3.0,2.58,2.58,0.32,3.35,1.43,0.64,0.64,0.08,0.72,0.72,0.84,0.36,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,2.0
Cash,21,6,LEE,AVL,1,DEF,5.0,0.7%,4.3,349.0,0.0,0.0,3.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,95.0,89.6,60.0,18.0,16.7,4.3,0.0,0.9,3.6,4.5,35222.0,17289.0,0.0,0.0,4,0.0,0.05,0.05,0.2,0.9,0.68,0.01,0.01,0.05,0.06,0.06,0.23,0.17,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,1.0
Barkley,21,6,LEE,AVL,1,MID,6.0,3.5%,6.0,220.0,2.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,60.0,83.8,31.7,95.0,21.1,6.0,1.0,1.0,3.3,5.0,249254.0,38951.0,0.0,0.0,4,2.0,1.03,1.03,0.18,1.64,0.47,0.43,0.43,0.07,0.5,0.5,0.69,0.2,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,2.0
Hourihane,21,6,LEE,AVL,1,MID,6.0,0.2%,4.7,137.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,57.0,62.2,77.7,23.0,16.3,4.7,1.0,0.8,2.8,8.5,21858.0,14098.0,0.0,0.0,2,1.0,0.42,0.42,0.92,0.53,0.06,0.26,0.26,0.56,0.82,0.82,0.33,0.03,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,0.0
Davis,21,6,LEE,AVL,1,FWD,4.4,9.8%,0.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.4,12.9,6.0,2.3,0.0,0.0,0.0,0.2,1.0,396232.0,756898.0,-1.0,1.0,1,0.0,0.0,0.0,0.03,0.14,0.14,0.0,0.0,0.1,0.1,0.1,0.54,0.54,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,0.0
Traoré,21,6,LEE,AVL,1,MID,6.0,0.0%,1.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.6,2.0,47.0,5.5,1.0,0.0,0.2,0.5,1.0,5358.0,3570.0,0.0,0.0,3,0.0,0.1,0.1,0.0,0.31,0.21,0.91,0.91,0.0,0.91,0.91,2.81,1.9,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,1.0
Nakamba,21,6,LEE,AVL,1,MID,4.4,0.4%,0.3,13.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,4.0,8.4,0.6,7.0,1.7,0.3,0.0,0.1,0.2,0.5,8650.0,21265.0,-1.0,1.0,2,0.0,0.02,0.02,0.0,0.07,0.05,0.25,0.25,0.0,0.25,0.25,0.76,0.51,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,0.0
Martínez,21,6,LEE,AVL,1,GKP,4.8,25.1%,6.0,360.0,0.0,0.0,3.0,2.0,0.0,1.0,0.0,0.0,0.0,14.0,4.0,116.0,121.6,0.0,0.0,12.1,6.0,0.0,1.3,6.5,7.8,1456536.0,215430.0,3.0,-3.0,4,0.0,0.0,0.0,0.0,0.93,0.93,0.0,0.0,0.0,0.0,0.0,0.23,0.23,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,3.0
Konsa,21,6,LEE,AVL,1,DEF,4.6,7.5%,4.3,360.0,1.0,0.0,3.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,99.0,96.6,0.5,42.0,13.9,4.3,1.0,0.9,6.1,7.0,570578.0,124628.0,1.0,-1.0,4,1.0,0.39,0.39,0.0,0.5,0.5,0.1,0.1,0.0,0.1,0.1,0.12,0.12,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,1.0
El Mohamady,21,6,LEE,AVL,1,DEF,4.4,0.4%,0.3,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,3.6,11.1,2.0,1.7,0.3,0.0,0.1,0.2,1.0,6456.0,17733.0,-1.0,1.0,1,0.0,0.0,0.0,0.05,0.05,0.05,0.0,0.0,0.58,0.58,0.58,0.58,0.58,2,4,4,0,0.0,12.0,2,12,6.79,6.79,3.71,2.95,3.84,9.63,8.26,41.0,29.0,7.41,10,1.8,1.8,1.4,1.3679999999999999,1.216,1.656,1.198,0.018,1.544,2.166,5.6,9.2,1.3,0.0
