Gameweek,Player,Team,Role,Cost,Sel.,Form,Cum_Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Pts.
8,Baldock,SHU,DEF,5.3,2.1,1.7,13.0,630.0,0.0,1.0,0.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,82.0,93.6,80.6,81.0,25.6,1.7,0.0,0.3,2.5,1.9,34223.0,207310.0,-2.0,2.0,7,0.0,0.2,0.2,1.1,1.63,1.3,0.03,0.03,0.16,0.19,0.19,0.23,0.19,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,0.0
8,Basham,SHU,DEF,4.8,1.1,2.3,13.0,562.0,0.0,0.0,0.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,91.0,121.0,40.8,50.0,21.1,2.3,0.0,0.5,2.7,1.9,18184.0,85648.0,-2.0,2.0,7,0.0,0.12,0.12,0.41,1.24,0.71,0.02,0.02,0.06,0.08,0.08,0.19,0.11,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,0.0
8,Berge,SHU,MID,5.0,0.2,3.7,17.0,554.0,1.0,0.0,0.0,8.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,86.0,110.0,100.8,96.0,30.7,3.7,0.0,0.7,3.4,2.4,9717.0,9649.0,0.0,0.0,7,0.0,0.99,0.23,0.48,1.67,1.05,0.16,0.04,0.08,0.24,0.12,0.27,0.17,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,4.0
8,Lundstram,SHU,MID,5.2,3.5,1.3,9.0,533.0,0.0,0.0,1.0,8.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,51.0,71.2,161.2,66.0,29.8,1.3,0.0,0.2,1.7,1.3,34023.0,582773.0,-3.0,3.0,7,0.0,1.37,0.61,0.73,2.66,1.43,0.23,0.1,0.12,0.35,0.22,0.44,0.24,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,2.0
8,Egan,SHU,DEF,4.9,3.7,1.7,4.0,461.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,50.0,70.6,3.3,14.0,8.9,1.7,0.0,0.3,0.8,0.7,28032.0,801957.0,-1.0,1.0,6,0.0,0.05,0.05,0.0,1.23,1.23,0.01,0.01,0.0,0.01,0.01,0.24,0.24,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,-1.0
8,McBurnie,SHU,FWD,5.7,0.3,3.0,13.0,432.0,0.0,1.0,0.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,38.0,54.2,70.2,125.0,25.0,3.0,0.0,0.5,2.3,1.9,9294.0,40914.0,-3.0,3.0,7,0.0,0.95,0.95,0.23,1.89,0.8,0.2,0.2,0.05,0.25,0.25,0.4,0.17,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,1.0
8,Osborn,SHU,MID,4.9,0.0,1.0,8.0,323.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0,40.8,67.9,41.0,14.9,1.0,0.0,0.2,1.6,1.6,652.0,1748.0,-1.0,1.0,5,0.0,0.19,0.19,0.61,0.97,0.76,0.05,0.05,0.17,0.22,0.22,0.27,0.21,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,1.0
8,Ampadu,SHU,DEF,4.4,0.6,1.0,6.0,303.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44.0,71.2,20.0,4.0,9.6,1.0,0.0,0.2,1.4,1.5,15104.0,38412.0,-1.0,1.0,4,0.0,0.04,0.04,0.11,0.46,0.46,0.01,0.01,0.03,0.04,0.04,0.14,0.14,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,0.0
8,McGoldrick,SHU,FWD,5.3,0.7,1.3,16.0,298.0,1.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,49.0,37.4,36.5,60.0,13.3,1.3,0.0,0.2,3.0,2.3,42364.0,71022.0,-2.0,2.0,7,1.0,0.24,0.24,0.44,1.63,0.95,0.07,0.07,0.13,0.2,0.2,0.49,0.28,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,6.0
8,Burke,SHU,MID,4.4,0.9,0.3,7.0,254.0,0.0,0.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0,5.8,36.6,71.0,10.8,0.3,0.0,0.1,1.6,1.8,75202.0,81779.0,-1.0,1.0,4,0.0,0.25,0.25,0.14,0.43,0.04,0.09,0.09,0.05,0.14,0.14,0.15,0.01,19,7,0,1,6.0,3.0,10,1,7.23,4.94,10.21,9.45,-4.5,15.12,12.19,38.0,43.0,7.04,0.0
