Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Schmeichel,LEI,4.8,GKP,12.8%,5.3,60.0,1710.0,0.0,0.0,3.0,36.0,0.0,1.0,0.0,1.0,0.0,67.0,5.0,358.0,524.8,0.1,0.0,52.6,5.3,1.0,1.1,12.5,3.2,898516.0,1295114.0,-2.0,2.0
Alisson,LIV,6.0,GKP,7.4%,2.7,84.0,1710.0,0.0,0.0,10.0,16.0,1.0,0.0,0.0,0.0,0.0,36.0,5.0,387.0,358.2,0.0,0.0,35.8,2.7,1.0,0.4,14.0,4.4,642801.0,694513.0,0.0,0.0
van Dijk,LIV,6.6,DEF,15.9%,3.0,92.0,1710.0,1.0,1.0,11.0,15.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,443.0,412.6,90.6,246.0,75.0,3.0,2.0,0.5,13.9,4.8,1369579.0,1370399.0,1.0,-1.0
Mané,LIV,11.7,MID,2.3%,2.7,97.0,1710.0,8.0,3.0,9.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,277.0,441.6,359.4,1037.0,183.8,2.7,1.0,0.2,8.3,4.8,560264.0,754227.0,-3.0,3.0
Krul,NOR,4.5,GKP,1.4%,1.2,54.0,1710.0,0.0,0.0,3.0,37.0,1.0,0.0,0.0,1.0,0.0,65.0,4.0,330.0,513.8,0.1,0.0,51.4,1.2,2.0,0.3,12.0,2.8,138709.0,154585.0,0.0,0.0
Lloris,TOT,5.4,GKP,8.8%,4.2,82.0,1710.0,0.0,0.0,8.0,22.0,0.0,0.0,0.0,0.0,0.0,51.0,8.0,365.0,408.0,23.0,0.0,43.0,4.2,2.0,0.8,15.2,4.3,1099502.0,876539.0,-1.0,1.0
Saint-Maximin,NEW,6.6,FWD,12.0%,9.0,83.0,1706.0,5.0,4.0,3.0,38.0,0.0,0.0,0.0,3.0,0.0,0.0,15.0,287.0,415.8,385.6,573.0,137.6,9.0,0.0,1.4,12.6,4.2,2682309.0,2213508.0,1.0,-1.0
Ward-Prowse,SOU,6.3,MID,3.4%,8.8,83.0,1685.0,6.0,2.0,4.0,31.0,0.0,0.0,0.0,3.0,1.0,0.0,11.0,379.0,513.6,545.5,233.0,129.3,8.8,2.0,1.4,13.2,4.4,375862.0,439268.0,-2.0,2.0
Alexander-Arnold,LIV,8.4,DEF,45.6%,5.3,142.0,1683.0,2.0,10.0,10.0,16.0,0.0,0.0,0.0,1.0,0.0,0.0,28.0,570.0,598.2,923.7,337.0,186.1,5.3,5.0,0.6,16.9,7.5,3627009.0,2462119.0,9.0,-9.0
Dias,MCI,6.3,DEF,27.9%,3.0,96.0,1681.0,2.0,2.0,10.0,13.0,0.0,0.0,0.0,4.0,0.0,0.0,6.0,426.0,433.8,151.7,166.0,75.3,3.0,1.0,0.5,15.2,4.8,2095060.0,1907046.0,3.0,-3.0
Fernandes,MUN,11.7,MID,19.0%,5.0,95.0,1677.0,7.0,5.0,4.0,29.0,0.0,0.0,1.0,6.0,0.0,0.0,10.0,370.0,553.0,762.8,395.0,171.4,5.0,2.0,0.4,8.1,4.8,1565572.0,4042559.0,-3.0,3.0
McLean,NOR,4.9,MID,0.1%,1.5,39.0,1665.0,0.0,0.0,3.0,39.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,177.0,197.0,95.6,213.0,50.7,1.5,0.0,0.3,8.0,2.1,15689.0,15909.0,-1.0,1.0
Moutinho,WOL,4.9,MID,0.7%,6.5,55.0,1659.0,1.0,0.0,9.0,14.0,0.0,0.0,0.0,2.0,0.0,0.0,4.0,292.0,278.6,391.5,56.0,72.4,6.5,0.0,1.3,11.2,2.8,126765.0,116178.0,-1.0,1.0
Saïss,WOL,5.0,DEF,1.7%,3.0,81.0,1658.0,2.0,0.0,8.0,14.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,364.0,451.2,55.3,165.0,67.2,3.0,1.0,0.6,16.2,4.3,390112.0,309092.0,0.0,0.0
Trossard,BHA,6.1,MID,2.4%,2.2,73.0,1649.0,4.0,1.0,5.0,20.0,0.0,0.0,0.0,1.0,0.0,0.0,8.0,240.0,327.2,399.1,636.0,136.2,2.2,2.0,0.4,12.0,3.6,573575.0,483614.0,-4.0,4.0
Romeu,SOU,4.5,MID,0.4%,2.2,39.0,1639.0,0.0,1.0,4.0,26.0,0.0,0.0,0.0,5.0,0.0,0.0,0.0,253.0,272.0,273.3,114.0,66.2,2.2,0.0,0.5,8.7,2.1,67786.0,80559.0,0.0,0.0
Konsa,AVL,4.9,DEF,1.5%,0.7,55.0,1622.0,2.0,0.0,5.0,30.0,0.0,0.0,0.0,3.0,1.0,0.0,3.0,248.0,314.2,40.3,209.0,56.2,0.7,1.0,0.1,11.2,2.9,200466.0,167197.0,-1.0,1.0
