Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Toney,BRE,7.7,FWD,29.4%,3.2,122.0,1881.0,14.0,3.0,8.0,27.0,0.0,0.0,0.0,8.0,0.0,0.0,23.0,414.0,632.4,290.4,880.0,180.1,3.2,4.0,0.4,15.8,5.8,8211587.0,5833495.0,0.7,-0.7
Coady,EVE,4.9,DEF,4.2%,3.2,69.0,1880.0,1.0,1.0,6.0,26.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,355.0,376.8,57.6,88.0,52.3,3.2,1.0,0.7,14.1,3.3,861713.0,899325.0,-0.1,0.1
Almirón,NEW,5.6,MID,27.3%,4.0,125.0,1879.0,10.0,2.0,13.0,13.0,0.0,0.0,0.0,2.0,0.0,0.0,12.0,405.0,512.6,284.1,701.0,150.0,4.0,3.0,0.7,22.3,5.4,5603414.0,2796296.0,0.6,-0.6
Ødegaard,ARS,7.0,MID,37.6%,3.8,131.0,1868.0,8.0,7.0,8.0,22.0,0.0,0.0,0.0,3.0,0.0,0.0,21.0,499.0,572.6,744.3,600.0,191.9,3.8,4.0,0.5,18.7,6.0,5126771.0,2672997.0,0.5,-0.5
De Bruyne,MCI,12.4,MID,35.2%,4.8,125.0,1860.0,4.0,13.0,7.0,19.0,0.0,0.0,0.0,1.0,0.0,0.0,16.0,517.0,636.4,1141.3,500.0,228.0,4.8,3.0,0.4,10.1,5.4,6055707.0,4385606.0,0.4,-0.4
Haaland,MCI,12.2,FWD,85.3%,6.2,183.0,1860.0,26.0,4.0,7.0,22.0,0.0,0.0,0.0,3.0,0.0,0.0,26.0,733.0,978.4,228.5,1300.0,250.3,6.2,8.0,0.5,15.0,8.0,5581370.0,1778538.0,0.7,-0.7
Martínez,AVL,4.9,GKP,4.2%,2.2,62.0,1834.0,0.0,0.0,4.0,31.0,1.0,1.0,0.0,4.0,0.0,57.0,5.0,356.0,495.4,23.0,0.0,51.9,2.2,1.0,0.4,12.7,3.0,536589.0,755316.0,-0.1,0.1
Robinson,FUL,4.4,DEF,0.3%,5.2,62.0,1828.0,0.0,0.0,8.0,21.0,0.0,0.0,0.0,6.0,0.0,0.0,3.0,341.0,324.6,266.6,39.0,63.1,5.2,0.0,1.2,14.1,3.0,51847.0,40414.0,-0.1,0.1
Martinelli,ARS,6.5,MID,34.1%,2.8,114.0,1825.0,8.0,5.0,10.0,18.0,0.0,0.0,0.0,2.0,0.0,0.0,7.0,365.0,470.0,539.2,858.0,186.6,2.8,2.0,0.4,17.5,5.0,5726288.0,4593993.0,0.5,-0.5
Gibbs-White,NFO,5.5,MID,0.4%,3.0,82.0,1825.0,2.0,6.0,7.0,31.0,0.0,0.0,0.0,2.0,0.0,0.0,8.0,258.0,330.2,591.7,418.0,133.8,3.0,0.0,0.5,14.9,3.7,147046.0,131648.0,0.0,0.0
Caicedo,BHA,5.0,MID,0.3%,1.5,48.0,1819.0,1.0,1.0,5.0,25.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,283.0,345.2,379.3,145.0,87.1,1.5,0.0,0.3,9.6,2.3,72877.0,66327.0,0.0,0.0
Mings,AVL,4.3,DEF,3.6%,1.5,55.0,1800.0,0.0,2.0,5.0,32.0,1.0,0.0,0.0,4.0,0.0,0.0,6.0,307.0,325.6,51.2,40.0,41.9,1.5,2.0,0.3,12.8,2.8,594896.0,853235.0,-0.2,0.2
