Player,Count,Entries Number,Season,Gameweek
Kudus,189,10050,24,21
Bell,171,10050,24,21
B.Fernandes,167,10050,24,21
Pinnock,167,10050,24,21
Maguire,167,10050,24,21
Diaby,154,10050,24,21
Johnstone,146,10050,24,21
Vicario,142,10050,24,21
Kulusevski,142,10050,24,21
Flekken,140,10050,24,21
Wood,138,10050,24,21
Dalot,137,10050,24,21
Mengi,130,10050,24,21
Strakosha,129,10050,24,21
Nkunku,124,10050,24,21
Rashford,121,10050,24,21
Beyer,119,10050,24,21
Diego Carlos,116,10050,24,21
Robinson,116,10050,24,21
Olise,112,10050,24,21
Onana,106,10050,24,21
Raúl,103,10050,24,21
Osula,96,10050,24,21
Trusty,90,10050,24,21
Semenyo,89,10050,24,21
Digne,89,10050,24,21
Gvardiol,88,10050,24,21
Akanji,81,10050,24,21
Schär,79,10050,24,21
Castagne,77,10050,24,21
McAtee,67,10050,24,21
Eze,65,10050,24,21
Steele,63,10050,24,21
Chukwuemeka,63,10050,24,21
Dawson,59,10050,24,21
Konaté,58,10050,24,21
T.Silva,57,10050,24,21
Gibbs-White,57,10050,24,21
Rúben,55,10050,24,21
Johnson,55,10050,24,21
Anderson,50,10050,24,21
Elanga,49,10050,24,21
Evans,48,10050,24,21
Bradley,47,10050,24,21
Al-Dakhil,46,10050,24,21
C.Richards,45,10050,24,21
Morris,45,10050,24,21
Souček,44,10050,24,21
N.Semedo,41,10050,24,21
Trafford,41,10050,24,21
Doku,39,10050,24,21
Werner,38,10050,24,21
Andreas,37,10050,24,21
Fabianski,37,10050,24,21
Adingra,35,10050,24,21
Adebayo,34,10050,24,21
Zouma,34,10050,24,21
Tavernier,34,10050,24,21
Kilman,31,10050,24,21
Bentley,30,10050,24,21
Disasi,30,10050,24,21
Nakamba,28,10050,24,21
Mateta,28,10050,24,21
Dunk,27,10050,24,21
Ferguson,25,10050,24,21
Willian,25,10050,24,21
Romero,24,10050,24,21
Mee,24,10050,24,21
Ortega Moreno,22,10050,24,21
Van de Ven,21,10050,24,21
McTominay,20,10050,24,21
Toti,20,10050,24,21
McGinn,19,10050,24,21
Sarr,19,10050,24,21
Ahamada,19,10050,24,21
Højlund,18,10050,24,21
Barkley,18,10050,24,21
B.Badiashile,18,10050,24,21
Almirón,17,10050,24,21
Amdouni,17,10050,24,21
Henderson,16,10050,24,21
Forster,15,10050,24,21
J.Virginia,15,10050,24,21
R.Lewis,14,10050,24,21
N.Jackson,14,10050,24,21
Aït-Nouri,14,10050,24,21
Calvert-Lewin,13,10050,24,21
Baptiste,13,10050,24,21
Nketiah,13,10050,24,21
Woodrow,13,10050,24,21
Altay,13,10050,24,21
Hinshelwood,12,10050,24,21
Wilson,12,10050,24,21
Foster,12,10050,24,21
Sarabia,12,10050,24,21
Smith,11,10050,24,21
Szoboszlai,11,10050,24,21
Iwobi,11,10050,24,21
Davies,11,10050,24,21
Tosin,10,10050,24,21
Grealish,10,10050,24,21
Kluivert,10,10050,24,21
Wissa,10,10050,24,21
Benrahma,9,10050,24,21
Gakpo,9,10050,24,21
Wan-Bissaka,9,10050,24,21
Rodák,9,10050,24,21
Kerkez,8,10050,24,21
Amissah,8,10050,24,21
Sergio Gómez,8,10050,24,21
Mitoma,8,10050,24,21
Maupay,8,10050,24,21
Rice,8,10050,24,21
Toffolo,8,10050,24,21
Edouard,7,10050,24,21
Townsend,7,10050,24,21
Lewis-Potter,7,10050,24,21
Rodrigo,7,10050,24,21
Kaminski,7,10050,24,21
Shaw,7,10050,24,21
Franchi,6,10050,24,21
Zabarnyi,6,10050,24,21
A.Doucoure,6,10050,24,21
Whitworth,6,10050,24,21
N.Aguerd,6,10050,24,21
