Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Steffen,21,26a,WHU,MCI,1,4.4,GKP,0.1%,0.0,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,8.0,9.6,0.0,0.0,1.0,0.0,0.0,0.0,0.5,2.0,24107.0,21691.0,-1.0,1.0,1,0.0,0.0,0.0,0.0,0.35,0.35,0.0,0.0,0.0,0.0,0.0,0.35,0.35,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,0.0
Delap,21,26a,WHU,MCI,1,4.3,FWD,1.0%,0.0,1.0,39.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3,4.0,0.2,0.0,0.0,0.0,0.2,1.0,267205.0,225006.0,-2.0,2.0,1,0.0,0.06,0.06,0.0,0.06,0.0,0.15,0.15,0.0,0.15,0.15,0.15,0.0,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,0.0
Rodrigo,21,26a,WHU,MCI,1,5.3,MID,0.4%,2.9,62.0,1902.0,1.0,1.0,10.0,15.0,0.0,0.0,0.0,3.0,0.0,0.0,4.0,359.0,424.0,354.1,219.0,99.8,2.9,0.0,0.5,11.7,2.7,47565.0,65799.0,-2.0,2.0,23,0.0,1.7,0.94,1.84,15.63,14.25,0.08,0.04,0.09,0.17,0.13,0.74,0.67,1,25,18,5,2.0,50.0,15,59,51.78,46.45,17.47,13.66,32.79,10.61,21.16,266.0,92.0,57.27,4,1.56,1.16,1.8,1.4844,1.454,1.1996,1.078,0.376,0.6920000000000001,0.45159999999999995,4.4,7.72,1.5504,1.0
Alisson,21,26a,SHU,LIV,0,5.9,GKP,6.1%,1.3,75.0,1890.0,0.0,0.0,5.0,24.0,0.0,1.0,0.0,1.0,0.0,45.0,6.0,369.0,429.6,0.0,0.0,42.9,1.3,1.0,0.2,12.7,3.6,436376.0,1041543.0,-1.0,1.0,21,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,6,25,11,7,7.0,45.0,34,40,46.15,41.58,32.57,26.48,15.11,9.01,20.72,310.0,73.0,43.99,20,0.6,1.64,0.44,0.9840000000000001,0.862,1.5628,1.4712,-0.6092,0.5672,0.4596,5.8,6.88,0.93,0.0
Fabinho,21,26a,SHU,LIV,0,5.4,MID,0.8%,0.2,41.0,1562.0,0.0,1.0,6.0,22.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,270.0,316.8,61.1,16.0,39.7,0.2,0.0,0.0,7.6,2.3,105146.0,179979.0,-1.0,1.0,18,0.0,0.12,0.12,0.17,5.64,5.53,0.01,0.01,0.01,0.02,0.02,0.33,0.32,6,25,11,7,7.0,45.0,34,40,46.15,41.58,32.57,26.48,15.11,9.01,20.72,310.0,73.0,43.99,20,0.6,1.64,0.44,0.9840000000000001,0.862,1.5628,1.4712,-0.6092,0.5672,0.4596,5.8,6.88,0.93,0.0
Adrián,21,26a,SHU,LIV,0,4.2,GKP,0.3%,0.0,2.0,180.0,0.0,0.0,0.0,9.0,0.0,0.0,0.0,0.0,0.0,7.0,0.0,28.0,42.2,0.0,0.0,4.2,0.0,0.0,0.0,0.5,1.0,54574.0,61207.0,-3.0,3.0,2,0.0,0.0,0.0,0.0,0.36,0.36,0.0,0.0,0.0,0.0,0.0,0.18,0.18,6,25,11,7,7.0,45.0,34,40,46.15,41.58,32.57,26.48,15.11,9.01,20.72,310.0,73.0,43.99,20,0.6,1.64,0.44,0.9840000000000001,0.862,1.5628,1.4712,-0.6092,0.5672,0.4596,5.8,6.88,0.93,9.0
Neco Williams,21,26a,SHU,LIV,0,3.8,DEF,4.0%,0.0,8.0,171.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,32.0,21.2,18.5,20.0,5.8,0.0,0.0,0.0,2.1,2.0,465811.0,490507.0,-2.0,2.0,4,0.0,0.05,0.05,0.11,0.86,0.71,0.03,0.03,0.05,0.08,0.08,0.45,0.37,6,25,11,7,7.0,45.0,34,40,46.15,41.58,32.57,26.48,15.11,9.01,20.72,310.0,73.0,43.99,20,0.6,1.64,0.44,0.9840000000000001,0.862,1.5628,1.4712,-0.6092,0.5672,0.4596,5.8,6.88,0.93,0.0
Rhys Williams,21,26a,SHU,LIV,0,4.0,DEF,0.2%,0.0,3.0,120.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0,21.0,15.2,4.0,4.0,0.0,0.0,0.0,0.8,1.5,56564.0,46941.0,0.0,0.0,2,0.0,0.05,0.05,0.12,0.47,0.35,0.04,0.04,0.09,0.13,0.13,0.35,0.26,6,25,11,7,7.0,45.0,34,40,46.15,41.58,32.57,26.48,15.11,9.01,20.72,310.0,73.0,43.99,20,0.6,1.64,0.44,0.9840000000000001,0.862,1.5628,1.4712,-0.6092,0.5672,0.4596,5.8,6.88,0.93,0.0
Robertson,21,26a,SHU,LIV,0,7.2,DEF,15.8%,1.3,96.0,2244.0,1.0,5.0,6.0,34.0,0.0,0.0,0.0,1.0,0.0,0.0,11.0,520.0,496.6,737.6,258.0,149.5,1.3,2.0,0.2,13.3,3.8,2218311.0,2099148.0,2.0,-2.0,25,1.0,1.16,1.16,4.84,14.11,10.7,0.05,0.05,0.19,0.24,0.24,0.57,0.43,6,25,11,7,7.0,45.0,34,40,46.15,41.58,32.57,26.48,15.11,9.01,20.72,310.0,73.0,43.99,20,0.6,1.64,0.44,0.9840000000000001,0.862,1.5628,1.4712,-0.6092,0.5672,0.4596,5.8,6.88,0.93,7.0
Wijnaldum,21,26a,SHU,LIV,0,5.3,MID,1.2%,3.0,68.0,2038.0,2.0,1.0,5.0,32.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,338.0,273.0,262.5,201.0,73.5,3.0,0.0,0.6,12.8,2.7,158613.0,227622.0,-2.0,2.0,25,2.0,2.39,2.39,1.24,10.1,7.43,0.1,0.1,0.05,0.16,0.16,0.44,0.33,6,25,11,7,7.0,45.0,34,40,46.15,41.58,32.57,26.48,15.11,9.01,20.72,310.0,73.0,43.99,20,0.6,1.64,0.44,0.9840000000000001,0.862,1.5628,1.4712,-0.6092,0.5672,0.4596,5.8,6.88,0.93,3.0
