Player,Season,Gameweek,Opponent,Team,Home,Cost,Role,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
McGinn,21,30,FUL,AVL,1,5.5,MID,1.0%,2.5,85.0,2430.0,1.0,6.0,13.0,30.0,0.0,0.0,0.0,7.0,0.0,0.0,2.0,356.0,391.6,419.5,263.0,107.3,2.5,0.0,0.5,15.5,3.1,341867.0,324549.0,0.0,0.0,27,1.0,1.52,1.52,2.54,11.76,8.23,0.06,0.06,0.09,0.15,0.15,0.44,0.3,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,2.0
Mings,21,30,FUL,AVL,1,5.4,DEF,8.9%,3.2,109.0,2384.0,2.0,1.0,13.0,29.0,0.0,0.0,0.0,4.0,1.0,0.0,8.0,498.0,599.4,68.2,241.0,91.3,3.2,2.0,0.6,20.2,4.0,1615099.0,1180267.0,4.0,-4.0,27,2.0,1.9,1.9,0.18,4.96,4.73,0.07,0.07,0.01,0.08,0.08,0.19,0.18,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,5.0
Grealish,21,30,FUL,AVL,1,7.5,MID,17.7%,0.0,129.0,1977.0,6.0,12.0,12.0,24.0,0.0,0.0,0.0,6.0,0.0,0.0,13.0,495.0,668.6,953.2,871.0,249.1,0.0,2.0,0.0,17.2,5.9,5358464.0,5026814.0,5.0,-5.0,22,6.0,5.12,5.12,8.95,16.68,6.45,0.23,0.23,0.41,0.64,0.64,0.76,0.29,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,0.0
Cash,21,30,FUL,AVL,1,5.0,DEF,0.8%,0.0,85.0,1912.0,0.0,2.0,11.0,26.0,0.0,0.0,0.0,6.0,0.0,0.0,8.0,416.0,422.8,277.8,79.0,78.2,0.0,1.0,0.0,17.0,3.9,210046.0,191433.0,0.0,0.0,22,0.0,0.21,0.21,1.25,5.72,4.7,0.01,0.01,0.06,0.07,0.07,0.27,0.22,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,2.0
Traoré,21,30,FUL,AVL,1,5.9,MID,1.1%,3.0,90.0,1521.0,5.0,3.0,10.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,271.0,341.6,301.9,568.0,121.1,3.0,1.0,0.5,15.3,3.5,220920.0,141673.0,-1.0,1.0,26,5.0,4.71,4.71,2.61,6.13,1.0,0.27,0.27,0.15,0.43,0.43,0.36,0.06,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,5.0
Barkley,21,30,FUL,AVL,1,5.9,MID,0.9%,1.0,62.0,1204.0,3.0,1.0,7.0,18.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,219.0,233.8,452.1,388.0,107.5,1.0,1.0,0.2,10.5,3.1,511233.0,503147.0,-1.0,1.0,20,3.0,3.54,3.54,3.45,8.4,3.0,0.26,0.26,0.26,0.52,0.52,0.62,0.22,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,0.0
El Ghazi,21,30,FUL,AVL,1,5.3,MID,1.1%,3.0,69.0,904.0,6.0,0.0,4.0,10.0,0.0,0.0,0.0,1.0,0.0,0.0,9.0,215.0,332.0,275.3,534.0,114.1,3.0,1.0,0.6,13.0,3.8,553200.0,496470.0,-7.0,7.0,18,4.0,5.78,4.25,1.33,5.06,1.69,0.57,0.42,0.13,0.7,0.55,0.5,0.17,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,2.0
Nakamba,21,30,FUL,AVL,1,4.3,MID,0.4%,0.8,16.0,442.0,0.0,0.0,4.0,1.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,65.0,60.4,29.9,10.0,10.1,0.8,0.0,0.2,3.7,1.8,83529.0,97075.0,-2.0,2.0,9,0.0,0.03,0.03,0.06,0.44,0.36,0.01,0.01,0.01,0.02,0.02,0.09,0.07,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,0.0
Ramsey,21,30,FUL,AVL,1,4.5,MID,0.1%,1.3,18.0,383.0,0.0,0.0,2.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53.0,41.8,59.4,44.0,14.3,1.3,0.0,0.3,4.0,1.4,14864.0,12411.0,0.0,0.0,13,0.0,0.23,0.23,0.13,0.94,0.69,0.06,0.06,0.03,0.09,0.09,0.23,0.17,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,1.0
Hause,21,30,FUL,AVL,1,4.4,DEF,0.1%,0.0,28.0,360.0,1.0,0.0,3.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,89.0,91.0,1.5,49.0,14.2,0.0,1.0,0.0,6.4,7.0,80403.0,79240.0,-1.0,1.0,4,1.0,1.25,1.25,0.0,1.27,1.27,0.31,0.31,0.0,0.31,0.31,0.32,0.32,10,28,12,5,11.0,39.0,30,41,44.42,41.37,36.09,33.04,8.33,10.64,8.93,202.0,207.0,43.45,18,0.7666666666666667,1.2666666666666666,0.8666666666666667,1.1386666666666665,1.0116666666666667,1.4836666666666667,1.3316666666666668,-0.32,0.4216666666666667,0.33233333333333337,5.6,5.833333333333333,1.1916666666666667,0.0
