Player,Season,Gameweek,Opponent,Team,Home,Role,Cost,Sel.,Form,Cum Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS,Opp_Ranking,Opp_Avg_G,Opp_Avg_GA,Opp_Avg_PTS,Opp_Avg_xG,Opp_Avg_NPxG,Opp_Avg_xGA,Opp_Avg_NPxGA,Opp_Avg_NPxGD,Opp_Avg_PPDA,Opp_Avg_OPPDA,Opp_Avg_DC,Opp_Avg_ODC,Opp_Avg_xPTS,Pts.
Mac Allister,21,11,SOU,BHA,1.0,MID,5.3,0.00%,0.2,11.0,43.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,29.0,43.4,2.7,7.0,5.3,0.2,0.0,0.0,2.1,3.7,2415.0,4785.0,-2.0,2.0,3,1.0,0.05,0.05,0.0,0.05,0.0,0.13,0.13,0.0,0.13,0.13,0.13,0.0,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,0.0
Molumby,21,11,SOU,BHA,1.0,MID,4.5,0.00%,0.2,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.2,1.0,1541.0,1025.0,0.0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16,10,2,4,4.0,14.0,16,10,14.82,11.78,11.11,8.07,3.71,9.79,11.89,64.0,42.0,16.48,6,1.9,1.6,1.7,1.093,1.017,1.3130000000000002,1.237,-0.221,0.916,1.1949999999999998,5.7,5.0,1.275,0.0
Felipe Anderson,21,11,MUN,WHU,1.0,MID,6.1,0.10%,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2.4,0.4,2.0,0.5,0.0,0.0,0.0,0.3,1.0,4628.0,34191.0,-4.0,4.0,2,0.0,0.0,0.0,0.0,0.05,0.05,0.0,0.0,0.0,0.0,0.0,2.27,2.27,5,10,5,2,3.0,17.0,11,17,14.16,14.16,12.99,10.71,3.45,17.43,12.61,40.0,78.0,13.76,9,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.4788888888888894,1.14,1.2877777777777777,0.95,0.19111111111111112,1.2766666666666666,1.18,9.111111111111107,4.888888888888889,1.5422222222222224,0.0
Fabianski,21,11,MUN,WHU,1.0,GKP,5.1,3.90%,9.0,53.0,900.0,0.0,0.0,4.0,11.0,0.0,1.0,0.0,0.0,0.0,30.0,8.0,211.0,226.2,0.0,0.0,22.7,9.0,1.0,1.8,10.4,5.3,216322.0,84142.0,1.0,-1.0,10,0.0,0.0,0.0,0.0,0.12,0.12,0.0,0.0,0.0,0.0,0.0,0.01,0.01,5,10,5,2,3.0,17.0,11,17,14.16,14.16,12.99,10.71,3.45,17.43,12.61,40.0,78.0,13.76,9,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.4788888888888894,1.14,1.2877777777777777,0.95,0.19111111111111112,1.2766666666666666,1.18,9.111111111111107,4.888888888888889,1.5422222222222224,2.0
Cresswell,21,11,MUN,WHU,1.0,DEF,5.2,10.80%,5.0,47.0,900.0,0.0,3.0,4.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,6.0,234.0,250.4,290.0,9.0,55.0,5.0,1.0,1.0,9.0,4.7,862326.0,210673.0,2.0,-2.0,10,0.0,0.22,0.22,1.51,3.14,2.51,0.02,0.02,0.15,0.17,0.17,0.31,0.25,5,10,5,2,3.0,17.0,11,17,14.16,14.16,12.99,10.71,3.45,17.43,12.61,40.0,78.0,13.76,9,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.4788888888888894,1.14,1.2877777777777777,0.95,0.19111111111111112,1.2766666666666666,1.18,9.111111111111107,4.888888888888889,1.5422222222222224,1.0
Rice,21,11,MUN,WHU,1.0,MID,4.8,2.60%,2.7,23.0,900.0,0.0,0.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,144.0,146.6,114.4,61.0,32.4,2.7,0.0,0.6,4.8,2.3,82792.0,237425.0,-2.0,2.0,10,0.0,0.27,0.27,0.45,2.68,2.25,0.03,0.03,0.04,0.07,0.07,0.27,0.22,5,10,5,2,3.0,17.0,11,17,14.16,14.16,12.99,10.71,3.45,17.43,12.61,40.0,78.0,13.76,9,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.4788888888888894,1.14,1.2877777777777777,0.95,0.19111111111111112,1.2766666666666666,1.18,9.111111111111107,4.888888888888889,1.5422222222222224,5.0
Soucek,21,11,MUN,WHU,1.0,MID,4.9,3.40%,4.7,32.0,900.0,1.0,1.0,4.0,11.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,88.0,145.0,66.2,242.0,45.3,4.7,1.0,1.0,6.5,3.2,204723.0,336850.0,-1.0,1.0,10,1.0,2.73,2.73,0.34,3.7,1.25,0.27,0.27,0.03,0.31,0.31,0.37,0.13,5,10,5,2,3.0,17.0,11,17,14.16,14.16,12.99,10.71,3.45,17.43,12.61,40.0,78.0,13.76,9,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.4788888888888894,1.14,1.2877777777777777,0.95,0.19111111111111112,1.2766666666666666,1.18,9.111111111111107,4.888888888888889,1.5422222222222224,8.0
Ogbonna,21,11,MUN,WHU,1.0,DEF,4.9,0.50%,6.7,37.0,872.0,1.0,0.0,4.0,11.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,157.0,190.0,14.3,76.0,28.0,6.7,1.0,1.4,7.6,3.7,21662.0,23719.0,-1.0,1.0,10,1.0,0.39,0.39,0.15,1.77,1.77,0.04,0.04,0.02,0.06,0.06,0.18,0.18,5,10,5,2,3.0,17.0,11,17,14.16,14.16,12.99,10.71,3.45,17.43,12.61,40.0,78.0,13.76,9,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.4788888888888894,1.14,1.2877777777777777,0.95,0.19111111111111112,1.2766666666666666,1.18,9.111111111111107,4.888888888888889,1.5422222222222224,1.0
Bowen,21,11,MUN,WHU,1.0,MID,6.3,2.00%,6.3,52.0,829.0,4.0,1.0,4.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,160.0,190.8,141.6,297.0,63.0,6.3,2.0,1.0,8.3,5.2,230834.0,210434.0,-2.0,2.0,10,4.0,2.93,2.93,1.03,5.04,2.01,0.31,0.31,0.11,0.42,0.42,0.54,0.21,5,10,5,2,3.0,17.0,11,17,14.16,14.16,12.99,10.71,3.45,17.43,12.61,40.0,78.0,13.76,9,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.4788888888888894,1.14,1.2877777777777777,0.95,0.19111111111111112,1.2766666666666666,1.18,9.111111111111107,4.888888888888889,1.5422222222222224,2.0
Fornals,21,11,MUN,WHU,1.0,MID,6.5,2.30%,3.3,49.0,825.0,2.0,4.0,4.0,10.0,0.0,0.0,0.0,2.0,0.0,0.0,5.0,137.0,138.2,100.6,174.0,41.2,3.3,0.0,0.5,7.5,4.9,230428.0,88216.0,0.0,0.0,10,2.0,2.19,2.19,1.07,5.62,2.42,0.24,0.24,0.12,0.35,0.35,0.61,0.26,5,10,5,2,3.0,17.0,11,17,14.16,14.16,12.99,10.71,3.45,17.43,12.61,40.0,78.0,13.76,9,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.4788888888888894,1.14,1.2877777777777777,0.95,0.19111111111111112,1.2766666666666666,1.18,9.111111111111107,4.888888888888889,1.5422222222222224,2.0
Masuaku,21,11,MUN,WHU,1.0,DEF,4.5,2.30%,4.7,36.0,760.0,0.0,1.0,4.0,9.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,167.0,132.8,150.9,58.0,34.2,4.7,1.0,1.0,8.0,4.0,200812.0,68850.0,0.0,0.0,9,0.0,0.43,0.43,2.36,3.95,1.64,0.05,0.05,0.28,0.33,0.33,0.46,0.19,5,10,5,2,3.0,17.0,11,17,14.16,14.16,12.99,10.71,3.45,17.43,12.61,40.0,78.0,13.76,9,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.4788888888888894,1.14,1.2877777777777777,0.95,0.19111111111111112,1.2766666666666666,1.18,9.111111111111107,4.888888888888889,1.5422222222222224,1.0
Balbuena,21,11,MUN,WHU,1.0,DEF,4.4,1.70%,4.7,35.0,720.0,1.0,0.0,4.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,150.0,164.0,5.8,34.0,20.4,4.7,0.0,1.1,8.0,4.4,147442.0,45114.0,-1.0,1.0,8,1.0,0.22,0.22,0.0,1.18,1.18,0.03,0.03,0.0,0.03,0.03,0.15,0.15,5,10,5,2,3.0,17.0,11,17,14.16,14.16,12.99,10.71,3.45,17.43,12.61,40.0,78.0,13.76,9,1.7777777777777777,1.7777777777777777,1.7777777777777777,1.4788888888888894,1.14,1.2877777777777777,0.95,0.19111111111111112,1.2766666666666666,1.18,9.111111111111107,4.888888888888889,1.5422222222222224,1.0
