Player,Team,Role,Cost,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Bellerín,ARS,DEF,5.0,5.9%,3.5,21.0,540.0,0.0,2.0,1.0,7.0,0.0,0.0,0.0,3.0,0.0,0.0,3.0,104.0,95.2,66.9,33.0,19.6,3.5,0.0,0.7,4.2,3.5,271461.0,201217.0,0.0,0.0,6,0.0,0.06,0.06,0.57,2.1,1.93,0.01,0.01,0.09,0.11,0.11,0.35,0.32,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Aubameyang,ARS,MID,11.7,15.2%,2.0,20.0,540.0,1.0,1.0,1.0,7.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,73.0,93.4,103.1,117.0,31.4,2.0,0.0,0.2,1.7,3.3,352380.0,2423792.0,-3.0,3.0,6,1.0,0.53,0.53,1.08,2.38,0.85,0.09,0.09,0.18,0.27,0.27,0.4,0.14,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Tierney,ARS,DEF,5.4,5.4%,1.8,13.0,440.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77.0,75.0,57.8,19.0,15.2,1.8,0.0,0.3,2.4,2.6,92291.0,493119.0,-1.0,1.0,5,0.0,0.03,0.03,0.24,1.52,1.37,0.01,0.01,0.05,0.05,0.05,0.31,0.28,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Xhaka,ARS,MID,5.4,0.6%,1.2,10.0,407.0,0.0,0.0,1.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,47.0,51.8,33.8,29.0,11.4,1.2,0.0,0.2,1.9,1.7,20314.0,44184.0,-1.0,1.0,6,0.0,0.27,0.27,0.08,2.96,2.9,0.06,0.06,0.02,0.08,0.08,0.64,0.63,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Ceballos,ARS,MID,5.0,1.6%,1.8,16.0,392.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,99.0,111.4,140.1,24.0,27.6,1.8,0.0,0.4,3.2,2.7,112602.0,145041.0,0.0,0.0,6,0.0,0.13,0.13,1.24,2.28,2.03,0.03,0.03,0.28,0.31,0.31,0.52,0.47,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Lacazette,ARS,FWD,8.4,3.8%,2.2,23.0,346.0,3.0,0.0,1.0,4.0,0.0,0.0,0.0,1.0,0.0,0.0,3.0,79.0,114.4,51.2,180.0,34.6,2.2,0.0,0.3,2.7,4.6,241513.0,307564.0,-1.0,1.0,5,3.0,2.46,2.46,0.24,2.84,0.27,0.63,0.63,0.06,0.69,0.69,0.73,0.07,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Saka,ARS,MID,5.3,2.9%,3.2,15.0,328.0,1.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,62.0,76.6,58.1,173.0,30.8,3.2,0.0,0.6,2.8,3.8,70222.0,382305.0,-2.0,2.0,4,1.0,1.24,1.24,0.22,2.41,1.17,0.33,0.33,0.06,0.39,0.39,0.65,0.31,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Holding,ARS,DEF,4.5,1.5%,0.2,9.0,270.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58.0,66.2,1.6,0.0,6.8,0.2,0.0,0.0,2.0,3.0,158928.0,169422.0,0.0,0.0,3,0.0,0.0,0.0,0.0,0.7,0.7,0.0,0.0,0.0,0.0,0.0,0.23,0.23,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Elneny,ARS,MID,4.4,1.5%,1.0,7.0,270.0,0.0,0.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51.0,42.6,19.7,22.0,8.4,1.0,0.0,0.2,1.6,2.3,158712.0,111198.0,-1.0,1.0,3,0.0,0.11,0.11,0.05,1.67,1.51,0.04,0.04,0.02,0.05,0.05,0.56,0.5,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
Maitland-Niles,ARS,DEF,4.9,1.3%,0.5,8.0,183.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0,20.2,4.3,7.0,3.2,0.5,0.0,0.1,1.6,2.7,44749.0,100263.0,-1.0,1.0,3,0.0,0.05,0.05,0.0,0.63,0.58,0.02,0.02,0.0,0.02,0.02,0.31,0.29,11,6,3,0,3.0,8.0,7,9,6.91,6.91,7.24,7.24,-0.32,18.4,17.79,42.0,27.0,8.11
