Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Tanguy NDombele Alvaro,TOT,7,414,1.0,1.0,0.0,0.54,0.54,0.50,2.11,1.38,0.12,0.12,0.11,0.23,0.23,0.46,0.30
Zanka,BRE,7,424,1.0,1.0,0.0,0.14,0.14,0.08,1.58,1.56,0.03,0.03,0.02,0.05,0.05,0.34,0.33
Shane Duffy,BHA,11,990,1.0,1.0,0.0,0.58,0.58,0.02,2.23,2.21,0.05,0.05,0.00,0.05,0.05,0.20,0.20
Isaac Hayden,NEW,10,840,1.0,1.0,0.0,0.15,0.15,0.06,0.99,0.93,0.02,0.02,0.01,0.02,0.02,0.11,0.10
Jacob Murphy,NEW,10,490,1.0,1.0,1.0,0.80,0.80,0.65,1.78,0.48,0.15,0.15,0.12,0.27,0.27,0.33,0.09
Ben Johnson,WHU,6,451,1.0,1.0,0.0,0.10,0.10,0.11,1.49,1.32,0.02,0.02,0.02,0.04,0.04,0.30,0.26
Callum Hudson-Odoi,CHE,6,490,1.0,1.0,0.0,1.12,1.12,1.90,4.22,1.73,0.21,0.21,0.35,0.56,0.56,0.78,0.32
Curtis Jones,LIV,5,327,1.0,1.0,1.0,0.27,0.27,0.19,1.62,1.16,0.08,0.08,0.05,0.13,0.13,0.45,0.32
Harvey Barnes,LEI,10,721,1.0,1.0,1.0,1.66,1.66,0.57,3.12,1.40,0.21,0.21,0.07,0.28,0.28,0.39,0.18
Fred,MUN,9,770,1.0,1.0,0.0,0.17,0.17,0.21,2.33,2.10,0.02,0.02,0.02,0.04,0.04,0.27,0.25
James Maddison,LEI,12,668,1.0,1.0,0.0,1.15,1.15,1.11,2.4,0.59,0.15,0.15,0.15,0.30,0.30,0.32,0.08
Conor Coady,WOL,12,1078,1.0,1.0,0.0,0.77,0.77,0.00,2.45,2.45,0.06,0.06,0.00,0.06,0.06,0.20,0.20
Rúben Neves,WOL,12,902,1.0,1.0,0.0,0.49,0.49,1.21,4.51,3.48,0.05,0.05,0.12,0.17,0.17,0.45,0.35
Kortney Hause,AVL,4,263,1.0,1.0,0.0,0.06,0.06,0.00,0.67,0.67,0.02,0.02,0.00,0.02,0.02,0.23,0.23
Mohamed Elyounoussi,SOU,10,749,1.0,1.0,0.0,3.00,3.00,0.68,4.23,1.15,0.36,0.36,0.08,0.44,0.44,0.51,0.14
Juan Camilo Hernández,WAT,9,384,1.0,1.0,1.0,0.49,0.49,0.64,1.5,0.81,0.11,0.11,0.15,0.26,0.26,0.35,0.19
Saman Ghoddos,BRE,7,244,1.0,1.0,1.0,0.69,0.69,0.88,2.77,1.32,0.26,0.26,0.33,0.58,0.58,1.02,0.49
Sean Longstaff,NEW,11,729,1.0,1.0,0.0,0.57,0.57,0.15,2.18,1.62,0.07,0.07,0.02,0.09,0.09,0.27,0.20
Christian Nørgaard,BRE,12,1071,1.0,1.0,1.0,3.14,3.14,1.11,4.22,2.00,0.26,0.26,0.09,0.36,0.36,0.35,0.17
Sergio Reguilón,TOT,11,958,1.0,1.0,2.0,1.15,1.15,0.89,3.21,2.11,0.11,0.11,0.08,0.19,0.19,0.30,0.20
Bukayo Saka,ARS,12,907,1.0,1.0,2.0,2.39,2.39,1.73,4.47,1.23,0.24,0.24,0.17,0.41,0.41,0.44,0.12
Max Kilman,WOL,12,1080,1.0,1.0,0.0,1.01,1.01,0.03,2.81,2.76,0.08,0.08,0.00,0.09,0.09,0.23,0.23
Mathias Normann,NOR,8,679,1.0,1.0,1.0,0.60,0.60,0.46,0.85,0.34,0.08,0.08,0.06,0.14,0.14,0.11,0.04
Marc Guehi,CRY,12,1080,1.0,1.0,0.0,1.15,1.15,0.12,3.54,3.51,0.10,0.10,0.01,0.11,0.11,0.30,0.29
Grant Hanley,NOR,11,989,1.0,1.0,0.0,0.25,0.25,0.30,0.66,0.57,0.02,0.02,0.03,0.05,0.05,0.06,0.05
Takumi Minamino,LIV,3,17,1.0,1.0,0.0,0.92,0.92,0.00,1.06,0.14,4.85,4.85,0.00,4.85,4.85,5.59,0.74
João Pedro,WAT,7,176,1.0,1.0,1.0,0.43,0.43,0.66,1.87,1.35,0.22,0.22,0.34,0.56,0.56,0.96,0.69
Tomas Soucek,WHU,12,1070,1.0,1.0,1.0,2.11,2.11,0.33,3.41,1.94,0.18,0.18,0.03,0.21,0.21,0.29,0.16
Luke Ayling,LEE,5,450,1.0,1.0,0.0,0.15,0.15,0.01,1.2,1.08,0.03,0.03,0.00,0.03,0.03,0.24,0.22
Donny van de Beek,MUN,3,52,1.0,1.0,0.0,0.67,0.67,0.39,1.57,0.56,1.17,1.17,0.68,1.85,1.85,2.71,0.96
Matthew Cash,AVL,12,1070,1.0,1.0,0.0,0.55,0.55,1.31,3.81,2.48,0.05,0.05,0.11,0.16,0.16,0.32,0.21
Jacob Ramsey,AVL,11,595,1.0,1.0,0.0,0.49,0.49,0.26,1.85,1.34,0.07,0.07,0.04,0.11,0.11,0.28,0.20
Valentino Livramento,SOU,12,1078,1.0,1.0,0.0,0.29,0.29,1.20,3.52,2.33,0.02,0.02,0.10,0.12,0.12,0.29,0.19
Ethan Pinnock,BRE,12,990,1.0,1.0,1.0,0.96,0.96,1.48,3.43,2.11,0.09,0.09,0.13,0.22,0.22,0.31,0.19
Vitaly Janelt,BRE,9,682,1.0,1.0,0.0,1.30,1.30,0.50,2.83,1.27,0.17,0.17,0.07,0.24,0.24,0.37,0.17
Enock Mwepu,BHA,6,260,1.0,1.0,0.0,0.56,0.56,0.05,1.19,0.59,0.19,0.19,0.02,0.21,0.21,0.41,0.20
Patson Daka,LEI,4,90,1.0,1.0,1.0,1.22,1.22,1.09,1.75,0.40,1.22,1.22,1.09,2.31,2.31,1.75,0.40
Andrew Omobamidele,NOR,4,290,1.0,1.0,0.0,0.08,0.08,0.00,0.12,0.12,0.03,0.03,0.00,0.03,0.03,0.04,0.04
Michael Olise,CRY,8,168,1.0,1.0,2.0,0.30,0.30,1.63,2.56,2.20,0.16,0.16,0.87,1.03,1.03,1.37,1.18
Lukas Rupp,NOR,7,243,0.0,0.0,0.0,0.13,0.13,0.09,0.6,0.51,0.05,0.05,0.03,0.08,0.08,0.22,0.19
Fabian Schär,NEW,3,254,0.0,0.0,0.0,0.02,0.02,0.40,0.69,0.68,0.01,0.01,0.14,0.15,0.15,0.25,0.24
Jannik Vestergaard,LEI,7,380,0.0,0.0,0.0,0.04,0.04,0.07,1.83,1.83,0.01,0.01,0.02,0.03,0.03,0.43,0.43
Bernd Leno,ARS,3,270,0.0,0.0,0.0,0.00,0.00,0.00,0.1,0.10,0.00,0.00,0.00,0.00,0.00,0.03,0.03
Andreas Christensen,CHE,8,720,0.0,0.0,0.0,0.53,0.53,0.12,3.61,3.61,0.07,0.07,0.02,0.08,0.08,0.45,0.45
Granit Xhaka,ARS,4,298,0.0,0.0,0.0,0.07,0.07,0.08,1.39,1.26,0.02,0.02,0.02,0.05,0.05,0.42,0.38
Thiago Alcántara,LIV,6,269,0.0,0.0,1.0,0.74,0.74,0.86,2.74,1.92,0.25,0.25,0.29,0.54,0.54,0.92,0.64
Pascal Groß,BHA,9,710,0.0,0.0,2.0,0.50,0.50,1.33,2.33,1.75,0.06,0.06,0.17,0.23,0.23,0.30,0.22
Joel Matip,LIV,9,810,0.0,0.0,0.0,0.51,0.51,0.16,6.01,5.85,0.06,0.06,0.02,0.07,0.07,0.67,0.65
Sead Kolasinac,ARS,2,91,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Matt Ritchie,NEW,12,1080,0.0,0.0,2.0,0.26,0.26,1.96,2.78,2.23,0.02,0.02,0.16,0.19,0.19,0.23,0.19
Dan Gosling,WAT,1,19,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Adam Lallana,BHA,12,984,0.0,0.0,1.0,0.46,0.46,0.76,3.55,3.28,0.04,0.04,0.07,0.11,0.11,0.32,0.30
James Milner,LIV,5,369,0.0,0.0,1.0,0.16,0.16,1.20,3.47,3.31,0.04,0.04,0.29,0.33,0.33,0.85,0.81
Mohamed Elneny,ARS,3,47,0.0,0.0,0.0,0.00,0.00,0.05,0.03,0.00,0.00,0.00,0.10,0.10,0.10,0.06,0.00
Theo Walcott,SOU,6,290,0.0,0.0,0.0,0.84,0.84,0.02,0.9,0.06,0.26,0.26,0.01,0.27,0.27,0.28,0.02
Calum Chambers,ARS,2,172,0.0,0.0,0.0,0.06,0.06,0.06,0.32,0.20,0.03,0.03,0.03,0.06,0.06,0.17,0.11
Joel Ward,CRY,12,1080,0.0,0.0,0.0,0.21,0.21,0.14,4.31,4.02,0.02,0.02,0.01,0.03,0.03,0.36,0.33
James Tomkins,CRY,1,5,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Cheikhou Kouyaté,CRY,10,727,0.0,0.0,0.0,0.08,0.08,0.02,1.66,1.62,0.01,0.01,0.00,0.01,0.01,0.21,0.20
Mark Noble,WHU,2,2,0.0,0.0,0.0,0.76,0.00,0.00,0.0,0.00,34.25,0.00,0.00,34.25,0.00,0.00,0.00
Manuel Lanzini,WHU,6,71,0.0,0.0,1.0,0.06,0.06,0.90,1.2,1.20,0.07,0.07,1.14,1.21,1.21,1.52,1.52
David de Gea,MUN,12,1080,0.0,0.0,0.0,0.00,0.00,0.00,1.13,1.13,0.00,0.00,0.00,0.00,0.00,0.09,0.09
Troy Deeney,WAT,2,19,0.0,0.0,0.0,0.11,0.11,0.03,0.14,0.00,0.52,0.52,0.16,0.68,0.68,0.68,0.00
Nathan Aké,MCI,4,281,0.0,0.0,0.0,0.05,0.05,0.00,1.38,1.38,0.01,0.01,0.00,0.01,0.01,0.44,0.44
Craig Cathcart,WAT,10,839,0.0,0.0,1.0,0.06,0.06,0.79,0.99,0.99,0.01,0.01,0.08,0.09,0.09,0.11,0.11
Seamus Coleman,EVE,9,810,0.0,0.0,0.0,0.19,0.19,0.36,2.3,1.96,0.02,0.02,0.04,0.06,0.06,0.26,0.22
John Stones,MCI,4,296,0.0,0.0,0.0,0.12,0.12,0.00,2.1,2.10,0.04,0.04,0.00,0.04,0.04,0.64,0.64
Ross Barkley,CHE,4,121,0.0,0.0,0.0,0.77,0.77,0.54,2.63,1.73,0.57,0.57,0.40,0.98,0.98,1.96,1.28
Aaron Lennon,BUR,4,103,0.0,0.0,0.0,0.08,0.08,0.00,0.08,0.00,0.07,0.07,0.00,0.07,0.07,0.07,0.00
Tom Cleverley,WAT,8,498,0.0,0.0,1.0,0.16,0.16,0.66,2.37,1.74,0.03,0.03,0.12,0.15,0.15,0.43,0.31
Fernandinho,MCI,6,177,0.0,0.0,0.0,0.44,0.44,0.09,1.56,1.37,0.22,0.22,0.05,0.27,0.27,0.79,0.69
Ashley Young,AVL,7,364,0.0,0.0,1.0,0.02,0.02,0.17,1.21,1.06,0.00,0.00,0.04,0.05,0.05,0.30,0.26
James McArthur,CRY,11,959,0.0,0.0,1.0,0.22,0.22,0.91,3.57,2.62,0.02,0.02,0.09,0.11,0.11,0.34,0.25
Alex McCarthy,SOU,12,1080,0.0,0.0,0.0,0.00,0.00,0.00,1.7,1.70,0.00,0.00,0.00,0.00,0.00,0.14,0.14
Hugo Lloris,TOT,12,1080,0.0,0.0,0.0,0.00,0.00,0.21,0.77,0.56,0.00,0.00,0.02,0.02,0.02,0.06,0.05
Kyle Walker,MCI,10,859,0.0,0.0,0.0,0.13,0.13,1.09,4.32,3.36,0.01,0.01,0.11,0.13,0.13,0.45,0.35
Danny Rose,WAT,6,540,0.0,0.0,0.0,0.05,0.05,0.63,1.48,0.86,0.01,0.01,0.11,0.11,0.11,0.25,0.14
Eric Dier,TOT,12,1001,0.0,0.0,0.0,0.29,0.29,1.20,3.11,2.56,0.03,0.03,0.11,0.13,0.13,0.28,0.23
Ben Davies,TOT,4,299,0.0,0.0,0.0,0.97,0.97,0.02,0.8,0.34,0.29,0.29,0.01,0.30,0.30,0.24,0.10
Ashley Westwood,BUR,11,990,0.0,0.0,3.0,0.21,0.21,2.88,3.32,2.45,0.02,0.02,0.26,0.28,0.28,0.30,0.22
Jordan Ayew,CRY,11,724,0.0,0.0,1.0,1.24,1.24,0.60,2.46,0.87,0.15,0.15,0.07,0.23,0.23,0.31,0.11
César Azpilicueta,CHE,8,632,0.0,0.0,2.0,0.50,0.50,1.40,6.58,5.42,0.07,0.07,0.20,0.27,0.27,0.94,0.77
Ruben Loftus-Cheek,CHE,7,262,0.0,0.0,2.0,0.27,0.27,1.19,1.81,1.58,0.09,0.09,0.41,0.50,0.50,0.62,0.54
Asmir Begovic,EVE,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Bertrand Traoré,AVL,4,45,0.0,0.0,0.0,0.15,0.15,0.00,0.24,0.11,0.31,0.31,0.00,0.31,0.31,0.48,0.22
Nemanja Matic,MUN,7,386,0.0,0.0,2.0,0.16,0.16,0.63,2.21,1.60,0.04,0.04,0.15,0.18,0.18,0.52,0.37
Lukasz Fabianski,WHU,12,1080,0.0,0.0,0.0,0.00,0.00,0.00,0.6,0.60,0.00,0.00,0.00,0.00,0.00,0.05,0.05
Federico Fernández,NEW,5,442,0.0,0.0,0.0,0.29,0.29,0.28,0.45,0.16,0.06,0.06,0.06,0.12,0.12,0.09,0.03
Jack Cork,BUR,4,326,0.0,0.0,0.0,0.11,0.11,0.00,0.4,0.29,0.03,0.03,0.00,0.03,0.03,0.11,0.08
Jordan Pickford,EVE,11,990,0.0,0.0,0.0,0.00,0.00,0.02,0.46,0.44,0.00,0.00,0.00,0.00,0.00,0.04,0.04
Dwight Gayle,NEW,3,14,0.0,0.0,0.0,0.06,0.06,0.00,0.06,0.00,0.39,0.39,0.00,0.39,0.39,0.39,0.00
Kasper Schmeichel,LEI,12,1080,0.0,0.0,0.0,0.00,0.00,0.00,1.97,1.97,0.00,0.00,0.00,0.00,0.00,0.16,0.16
Daniel Amartey,LEI,8,606,0.0,0.0,0.0,0.01,0.01,0.03,0.69,0.68,0.00,0.00,0.00,0.01,0.01,0.10,0.10
Jonjo Shelvey,NEW,5,280,0.0,0.0,0.0,0.02,0.02,0.29,0.49,0.24,0.01,0.01,0.09,0.10,0.10,0.16,0.08
Ayoze Pérez,LEI,4,126,0.0,0.0,2.0,0.78,0.78,0.97,1.27,0.28,0.56,0.56,0.69,1.25,1.25,0.91,0.20
Moussa Sissoko,WAT,10,882,0.0,0.0,0.0,0.20,0.20,0.48,1.97,1.35,0.02,0.02,0.05,0.07,0.07,0.20,0.14
Karl Darlow,NEW,8,720,0.0,0.0,0.0,0.00,0.00,0.00,0.56,0.56,0.00,0.00,0.00,0.00,0.00,0.07,0.07
Nathan Redmond,SOU,9,642,0.0,0.0,2.0,1.29,1.29,2.10,4.81,1.96,0.18,0.18,0.29,0.48,0.48,0.67,0.27
Ben Foster,WAT,8,720,0.0,0.0,1.0,0.00,0.00,0.07,1.92,1.86,0.00,0.00,0.01,0.01,0.01,0.24,0.23
Craig Dawson,WHU,9,531,0.0,0.0,0.0,0.64,0.64,0.05,1.46,1.46,0.11,0.11,0.01,0.12,0.12,0.25,0.25
Jonny Evans,LEI,6,477,0.0,0.0,0.0,0.71,0.71,0.00,0.98,0.98,0.13,0.13,0.00,0.13,0.13,0.18,0.18
Salomón Rondón,EVE,8,458,0.0,0.0,0.0,0.66,0.66,0.21,1.24,0.41,0.13,0.13,0.04,0.17,0.17,0.24,0.08
Virgil van Dijk,LIV,12,1080,0.0,0.0,1.0,0.58,0.58,0.83,9.42,9.41,0.05,0.05,0.07,0.12,0.12,0.78,0.78
Ryan Bertrand,LEI,4,340,0.0,0.0,0.0,0.00,0.00,0.00,1.68,1.68,0.00,0.00,0.00,0.00,0.00,0.45,0.45
Shane Long,SOU,1,15,0.0,0.0,0.0,0.13,0.13,0.00,0.16,0.03,0.76,0.76,0.00,0.76,0.76,0.97,0.21
Oriol Romeu,SOU,12,1018,0.0,0.0,0.0,0.31,0.31,0.41,3.55,3.09,0.03,0.03,0.04,0.06,0.06,0.31,0.27
Jay Rodriguez,BUR,9,208,0.0,0.0,1.0,0.50,0.50,0.82,1.28,0.35,0.22,0.22,0.35,0.57,0.57,0.55,0.15
Cédric Soares,ARS,3,187,0.0,0.0,0.0,0.02,0.02,0.19,0.46,0.36,0.01,0.01,0.09,0.10,0.10,0.22,0.18
Freddie Woodman,NEW,4,360,0.0,0.0,0.0,0.00,0.00,0.00,0.32,0.32,0.00,0.00,0.00,0.00,0.00,0.08,0.08
Ciaran Clark,NEW,10,897,0.0,0.0,1.0,1.01,1.01,0.20,1.74,1.65,0.10,0.10,0.02,0.12,0.12,0.17,0.17
Fabian Delph,EVE,4,170,0.0,0.0,0.0,0.01,0.01,0.02,0.18,0.17,0.01,0.01,0.01,0.02,0.02,0.10,0.09
Matt Targett,AVL,11,921,0.0,0.0,1.0,0.55,0.55,1.95,2.77,0.58,0.05,0.05,0.19,0.24,0.24,0.27,0.06
Kyle Walker-Peters,SOU,8,624,0.0,0.0,0.0,0.20,0.20,1.48,3.16,2.64,0.03,0.03,0.21,0.24,0.24,0.46,0.38
Erik Pieters,BUR,3,100,0.0,0.0,0.0,0.00,0.00,0.00,0.69,0.69,0.00,0.00,0.00,0.00,0.00,0.63,0.63
Adama Traoré,WOL,11,659,0.0,0.0,0.0,2.05,2.05,0.78,3.32,0.78,0.28,0.28,0.11,0.39,0.39,0.45,0.11
