Player,Season,Gameweek,Opponent,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Ampadu,21,9,WHU,SHU,4.4,DEF,0.5,1.3,2.0,61.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,90.6,21.8,4.0,11.7,1.3,0.0,0.3,1.8,1.6,674.0,2080.0,-1.0,1.0,5,0.0,0.0,0.0,0.0,0.06,0.06,0.01,0.01,0.03,0.03,0.03,0.13,0.13,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Osborn,21,9,WHU,SHU,4.8,MID,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,47.0,79.4,41.0,16.7,0.7,0.0,0.1,1.9,1.5,45.0,128.0,-2.0,2.0,6,0.0,0.0,0.0,0.0,0.0,0.0,0.05,0.05,0.17,0.22,0.22,0.26,0.2,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Norwood,21,9,WHU,SHU,4.7,MID,0.2,1.7,2.0,64.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0,54.2,61.3,0.0,11.6,1.7,0.0,0.4,2.1,1.7,792.0,1510.0,-3.0,3.0,6,0.0,0.0,0.0,0.0,0.18999999999999995,0.19999999999999996,0.0,0.0,0.02,0.02,0.02,0.38,0.37,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Lowe,21,9,WHU,SHU,4.4,DEF,0.1,1.3,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,51.4,5.9,11.0,6.8,1.3,0.0,0.3,1.1,1.2,342.0,255.0,-1.0,1.0,4,0.0,0.0,0.0,0.0,0.13,0.13999999999999996,0.01,0.01,0.0,0.01,0.01,0.2,0.19,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Fleck,21,9,WHU,SHU,5.6,MID,0.1,0.7,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0,35.8,72.6,21.0,12.9,0.7,0.0,0.1,1.2,1.8,212.0,590.0,-4.0,4.0,4,0.0,0.030000000000000006,0.030000000000000006,0.009999999999999995,0.11000000000000001,0.09,0.02,0.02,0.04,0.06,0.06,0.09,0.06,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Brewster,21,9,WHU,SHU,4.5,FWD,6.1,1.7,1.0,25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,12.0,33.8,11.0,5.7,1.7,0.0,0.4,1.6,1.4,33208.0,71951.0,0.0,0.0,5,0.0,0.0,0.0,0.22999999999999998,0.22999999999999998,0.0,0.2,0.2,0.13,0.32,0.32,0.36,0.04,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Burke,21,9,WHU,SHU,4.4,MID,0.8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.8,36.6,71.0,10.8,0.0,0.0,0.0,1.6,1.8,2483.0,7538.0,-1.0,1.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.05,0.14,0.14,0.15,0.01,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
O'Connell,21,9,WHU,SHU,4.8,DEF,0.2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40.2,2.5,0.0,4.3,0.0,0.0,0.0,0.6,1.5,71.0,979.0,-2.0,2.0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Sharp,21,9,WHU,SHU,5.7,FWD,0.1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.6,4.9,61.0,10.3,0.0,0.0,0.0,1.9,2.8,276.0,760.0,-3.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,1.05,0.5,0.0,1.05,0.5,0.54,0.04,20,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.6900000000000004,0.6899999999999995,2.119999999999999,2.119999999999999,-1.4200000000000008,-0.16000000000000014,0.34999999999999964,7.0,10.0,0.40000000000000036
Fabio Silva,21,9,SOU,WOL,5.2,FWD,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.2,13.7,46.0,6.1,0.5,0.0,0.1,0.8,1.0,1117.0,2925.0,-3.0,3.0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.24,0.24,0.02,0.27,0.27,0.27,0.02,9,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.58,1.58,1.08,1.0799999999999983,0.5,-0.379999999999999,-0.14000000000000057,5.0,10.0,1.7599999999999998
Vitinha,21,9,SOU,WOL,4.8,MID,0.0,0.2,1.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,8.8,13.5,0.0,2.3,0.2,0.0,0.0,0.6,1.0,38.0,129.0,-2.0,2.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.06,0.06,0.46,0.39,9,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.58,1.58,1.08,1.0799999999999983,0.5,-0.379999999999999,-0.14000000000000057,5.0,10.0,1.7599999999999998
Patrício,21,9,SOU,WOL,5.5,GKP,7.5,5.0,2.0,90.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,9.0,177.8,0.0,0.0,17.6,5.0,0.0,0.9,7.6,4.7,18824.0,17058.0,0.0,0.0,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,9,1.0,0.0,1.0,0.0,1.0,1.0,1.0,1.58,1.58,1.08,1.0799999999999983,0.5,-0.379999999999999,-0.14000000000000057,5.0,10.0,1.7599999999999998
