Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall,Player_Appearances,Player_NPG,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90,Team_Ranking,Team_M,Team_W,Team_D,Team_L,Team_G,Team_GA,Team_PTS,Team_xG,Team_NPxG,Team_xGA,Team_NPxGA,Team_NPxGD,Team_PPDA,Team_OPPDA,Team_DC,Team_ODC,Team_xPTS
Richarlison,EVE,7.9,FWD,8.1%,1.7,60.0,1449.0,2.0,5.0,3.0,20.0,0.0,0.0,0.0,2.0,1.0,0.0,8.0,191.0,277.0,175.6,495.0,94.8,1.7,0.0,0.2,7.6,3.3,1080867.0,1196360.0,-1.0,1.0,18,1.0,4.25,3.49,2.34,8.5,3.56,0.26,0.22,0.14,0.41,0.36,0.53,0.22,7,22,11,4,7.0,34.0,30,37,29.0,27.48,30.61,28.33,-0.86,13.69,12.09,119.0,156.0,27.81
Allan,EVE,5.2,MID,0.6%,0.0,21.0,1028.0,0.0,0.0,2.0,16.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,140.0,177.4,99.0,27.0,30.5,0.0,0.0,0.0,4.0,1.8,81763.0,167250.0,-3.0,3.0,12,0.0,0.1,0.1,0.29,4.69,4.35,0.01,0.01,0.03,0.03,0.03,0.41,0.38,7,22,11,4,7.0,34.0,30,37,29.0,27.48,30.61,28.33,-0.86,13.69,12.09,119.0,156.0,27.81
André Gomes,EVE,5.3,MID,0.2%,1.5,29.0,957.0,0.0,1.0,2.0,17.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,136.0,124.8,133.6,55.0,31.0,1.5,0.0,0.3,5.5,1.7,23229.0,42145.0,-2.0,2.0,17,0.0,0.17,0.17,0.3,2.58,2.16,0.02,0.02,0.03,0.04,0.04,0.24,0.2,7,22,11,4,7.0,34.0,30,37,29.0,27.48,30.61,28.33,-0.86,13.69,12.09,119.0,156.0,27.81
Bernard,EVE,5.7,MID,0.1%,0.2,14.0,293.0,1.0,0.0,1.0,4.0,0.0,0.0,0.0,2.0,0.0,0.0,1.0,49.0,82.6,104.0,63.0,25.0,0.2,0.0,0.0,2.5,2.0,11382.0,19669.0,-3.0,3.0,7,1.0,0.16,0.16,0.43,0.95,0.43,0.05,0.05,0.13,0.18,0.18,0.3,0.13,7,22,11,4,7.0,34.0,30,37,29.0,27.48,30.61,28.33,-0.86,13.69,12.09,119.0,156.0,27.81
Doucouré,EVE,5.2,MID,0.9%,2.7,61.0,1798.0,2.0,3.0,4.0,29.0,0.0,0.0,0.0,5.0,0.0,0.0,2.0,337.0,365.0,252.0,243.0,86.0,2.7,2.0,0.5,11.7,2.9,139326.0,244295.0,-3.0,3.0,21,2.0,2.1,2.1,2.15,8.02,4.86,0.1,0.1,0.11,0.21,0.21,0.4,0.24,7,22,11,4,7.0,34.0,30,37,29.0,27.48,30.61,28.33,-0.86,13.69,12.09,119.0,156.0,27.81
Calvert-Lewin,EVE,7.7,FWD,37.5%,4.2,120.0,1763.0,13.0,5.0,5.0,26.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,412.0,561.2,186.4,970.0,171.5,4.2,3.0,0.5,15.6,6.0,7011216.0,5268864.0,7.0,-7.0,20,13.0,12.63,12.63,0.71,12.05,2.63,0.64,0.64,0.04,0.68,0.68,0.61,0.13,7,22,11,4,7.0,34.0,30,37,29.0,27.48,30.61,28.33,-0.86,13.69,12.09,119.0,156.0,27.81
Keane,EVE,5.1,DEF,5.6%,1.0,71.0,1729.0,3.0,1.0,4.0,27.0,0.0,0.0,0.0,3.0,0.0,0.0,6.0,369.0,511.2,51.6,186.0,74.9,1.0,2.0,0.2,13.9,3.4,851950.0,626326.0,1.0,-1.0,21,3.0,1.35,1.35,0.96,3.94,3.8,0.07,0.07,0.05,0.12,0.12,0.21,0.2,7,22,11,4,7.0,34.0,30,37,29.0,27.48,30.61,28.33,-0.86,13.69,12.09,119.0,156.0,27.81
Mina,EVE,5.5,DEF,2.8%,0.8,61.0,1620.0,2.0,0.0,4.0,21.0,0.0,0.0,0.0,1.0,0.0,0.0,5.0,318.0,418.0,22.3,182.0,62.5,0.8,1.0,0.1,11.1,3.4,401888.0,334548.0,0.0,0.0,18,2.0,1.5,1.5,0.02,3.56,3.46,0.08,0.08,0.0,0.08,0.08,0.2,0.19,7,22,11,4,7.0,34.0,30,37,29.0,27.48,30.61,28.33,-0.86,13.69,12.09,119.0,156.0,27.81
Pickford,EVE,4.8,GKP,4.5%,0.7,50.0,1530.0,0.0,0.0,3.0,22.0,0.0,0.0,0.0,1.0,0.0,47.0,3.0,275.0,369.6,10.0,0.0,38.0,0.7,0.0,0.1,10.4,2.9,559824.0,772161.0,-2.0,2.0,17,0.0,0.0,0.0,0.02,2.09,2.07,0.0,0.0,0.0,0.0,0.0,0.12,0.12,7,22,11,4,7.0,34.0,30,37,29.0,27.48,30.61,28.33,-0.86,13.69,12.09,119.0,156.0,27.81
Godfrey,EVE,5.0,DEF,0.3%,1.3,37.0,1319.0,0.0,1.0,3.0,17.0,0.0,0.0,0.0,4.0,0.0,0.0,1.0,228.0,260.0,51.2,45.0,35.7,1.3,0.0,0.3,7.4,2.5,49360.0,31134.0,0.0,0.0,15,0.0,0.32,0.32,0.58,2.62,2.45,0.02,0.02,0.04,0.06,0.06,0.18,0.17,7,22,11,4,7.0,34.0,30,37,29.0,27.48,30.61,28.33,-0.86,13.69,12.09,119.0,156.0,27.81
