Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form.1,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Jiménez,WOL,8.3,FWD,11.50%,2.7,43,824,4,1,4,10,1,0,0,0,0,0,7,148,177.4,96.2,275,55.0,2.7,0,0.3,5.2,4.3,1156724,1699537,-2,2
Son,TOT,9.5,MID,57.50%,4.5,87,820,9,2,5,5,0,0,0,0,0,0,12,285,409.6,265.1,367,104.4,4.5,5,0.5,9.2,8.7,4719536,2674393,5,-5
Basham,SHU,4.8,DEF,0.90%,1.3,17,817,0,0,0,16,0,0,0,0,0,0,2,133,163.8,76.3,57,29.7,1.3,0,0.3,3.5,1.7,23332,100879,-2,2
Wijnaldum,LIV,5.3,MID,1.20%,2.3,21,811,0,0,2,15,0,0,0,0,0,0,0,107,84.6,81.5,86,25.3,2.3,0,0.4,4.0,2.1,51239,114500,-2,2
Gabriel,ARS,5.1,DEF,11.30%,5.5,45,810,2,0,3,9,0,0,0,1,0,0,6,191,255.6,8.9,110,37.5,5.5,1,1.1,8.8,5.0,913689,552724,1,-1
Martínez,AVL,4.8,GKP,27.20%,2.0,42,810,0,0,4,13,0,1,0,0,0,23,4,189,208.6,0.0,0,20.8,2.0,0,0.4,8.8,4.7,1869627,450551,3,-3
Mings,AVL,5.3,DEF,13.20%,3.5,44,810,2,1,4,13,0,0,0,2,0,0,3,188,227.4,27.6,119,37.6,3.5,2,0.7,8.3,4.9,1042676,282677,3,-3
Targett,AVL,4.5,DEF,2.80%,3.0,30,810,0,1,4,13,0,0,0,3,0,0,2,156,114.0,142.1,44,30.2,3.0,1,0.7,6.7,3.3,227543,93009,0,0
Konsa,AVL,4.7,DEF,9.20%,3.8,44,810,2,0,4,13,0,0,0,0,0,0,4,181,197.0,3.5,107,30.8,3.8,1,0.8,9.4,4.9,843879,264043,2,-2
Grealish,AVL,7.7,MID,42.20%,8.0,71,810,5,6,4,13,0,0,0,2,0,0,8,260,364.0,349.7,498,121.0,8.0,2,1.0,9.2,7.9,3025029,757439,7,-7
McGinn,AVL,5.5,MID,2.20%,2.2,38,810,1,4,4,13,0,0,0,3,0,0,2,152,176.6,216.8,103,49.6,2.2,0,0.4,6.9,4.2,262423,157043,0,0
Watkins,AVL,6.1,FWD,9.80%,5.5,49,810,6,1,4,13,0,0,1,0,0,0,6,178,269.6,155.3,366,78.5,5.5,2,0.9,8.0,5.4,979664,368231,1,-1
Ryan,BHA,4.5,GKP,13.10%,2.8,22,810,0,0,2,14,0,0,0,1,0,12,0,129,90.6,0.3,0,9.0,2.8,0,0.6,4.9,2.4,365851,627258,0,0
Taylor,BUR,4.4,DEF,3.00%,5.0,29,810,0,1,3,17,0,0,0,1,0,0,3,159,150.0,97.9,15,26.3,5.0,0,1.1,6.6,3.2,155801,261018,-1,1
Westwood,BUR,5.3,MID,0.50%,2.7,26,810,1,0,3,17,0,0,0,1,0,0,1,137,131.6,179.5,55,36.6,2.7,0,0.5,4.9,2.9,11613,43640,-2,2
McNeil,BUR,5.8,MID,0.40%,2.7,23,810,0,1,3,17,0,0,0,1,0,0,0,112,114.2,185.8,47,34.8,2.7,0,0.5,4.0,2.6,16360,49166,-2,2
Zouma,CHE,5.5,DEF,20.20%,4.3,59,810,3,0,5,7,0,0,0,1,0,0,6,221,267.6,20.2,101,38.9,4.3,3,0.8,10.7,6.6,1567248,260055,5,-5
Pickford,EVE,4.9,GKP,6.70%,1.5,23,810,0,0,1,15,0,0,0,0,0,29,1,152,216.0,10.0,0,22.7,1.5,0,0.3,4.7,2.6,430264,473267,-1,1
Allan,EVE,5.3,MID,1.00%,1.2,15,810,0,0,1,15,0,0,0,4,0,0,0,104,137.0,74.8,27,24.0,1.2,0,0.2,2.8,1.7,78526,139852,-2,2
Areola,FUL,4.5,GKP,1.30%,3.5,25,810,0,0,1,16,0,0,0,0,0,35,0,159,263.4,0.0,0,26.1,3.5,0,0.8,5.6,2.8,64460,81248,0,0
Ederson,MCI,6.0,GKP,5.70%,3.3,31,810,0,0,3,11,0,0,0,0,0,16,1,148,143.6,0.0,0,14.4,3.3,0,0.6,5.2,3.4,215917,213377,0,0
Maguire,MUN,5.4,DEF,3.30%,2.5,28,810,1,1,2,16,0,0,0,2,0,0,1,158,160.0,32.7,171,36.5,2.5,1,0.5,5.2,3.1,152065,210325,-1,1
Bednarek,SOU,4.5,DEF,2.10%,4.2,39,810,1,0,4,13,0,0,0,0,0,0,3,190,197.2,15.2,91,30.3,4.2,0,0.9,8.7,3.9,75691,127749,0,0
Dier,TOT,4.9,DEF,1.90%,5.2,34,810,0,0,4,6,0,0,0,0,0,0,1,165,176.4,15.0,14,20.6,5.2,0,1.1,6.9,3.8,112138,110053,-1,1
Ajayi,WBA,4.8,DEF,0.20%,3.0,16,810,0,0,1,18,0,0,0,1,0,0,1,114,137.6,5.0,4,14.6,3.0,0,0.6,3.3,1.8,6041,18443,-2,2
Coady,WOL,5.0,DEF,7.30%,1.0,31,810,0,0,4,10,0,0,0,2,0,0,2,160,153.6,12.2,0,16.7,1.0,0,0.2,6.2,3.4,310935,421171,0,0
