Player,Team,Cost,Role,Sel.,Form,Pts.,Minutes played,Goals scored,Assists,Clean sheets,Goals conceded,Own goals,Penalties saved,Penalties missed,Yellow cards,Red cards,Saves,Bonus,Bonus Points System,Influence,Creativity,Threat,ICT Index,Form,Times in Dream Team,Value (form),Value (season),Points per match,Transfers in,Transfers out,Price rise,Price fall
Calvert-Lewin,EVE,7.6,FWD,35.8%,3.2,136.0,2151.0,14.0,6.0,7.0,30.0,0.0,0.0,0.0,3.0,0.0,0.0,16.0,448.0,613.6,217.1,1100.0,192.7,3.2,3.0,0.4,17.9,5.4,8061614.0,6450900.0,6.0,-6.0
Harrison,LEE,5.4,MID,3.0%,2.6,111.0,2149.0,6.0,5.0,8.0,39.0,0.0,0.0,0.0,2.0,0.0,0.0,10.0,383.0,547.2,615.0,450.0,161.6,2.6,2.0,0.5,20.6,4.0,770478.0,643197.0,-1.0,1.0
Firmino,LIV,9.1,FWD,3.2%,1.8,102.0,2145.0,6.0,6.0,7.0,33.0,0.0,0.0,0.0,1.0,0.0,0.0,10.0,428.0,484.8,419.4,1134.0,203.6,1.8,1.0,0.2,11.2,3.8,1006978.0,1140941.0,-4.0,4.0
Doucouré,EVE,5.2,MID,0.7%,1.8,71.0,2131.0,2.0,3.0,7.0,32.0,0.0,0.0,0.0,6.0,0.0,0.0,2.0,375.0,400.6,284.8,256.0,94.2,1.8,2.0,0.3,13.7,2.8,150145.0,275343.0,-3.0,3.0
Andersen,FUL,4.5,DEF,0.5%,5.0,87.0,2131.0,1.0,1.0,9.0,24.0,0.0,0.0,0.0,3.0,1.0,0.0,7.0,421.0,464.0,105.0,116.0,68.7,5.0,2.0,1.1,19.3,3.6,52410.0,14011.0,0.0,0.0
Basham,SHU,4.6,DEF,0.5%,0.2,38.0,2126.0,0.0,1.0,0.0,44.0,0.0,0.0,0.0,3.0,0.0,0.0,2.0,307.0,433.2,166.5,141.0,74.1,0.2,0.0,0.0,8.3,1.5,40057.0,148718.0,-4.0,4.0
Furlong,WBA,4.5,DEF,0.2%,4.0,62.0,2121.0,1.0,2.0,5.0,44.0,1.0,0.0,0.0,4.0,0.0,0.0,2.0,302.0,352.0,214.6,172.0,74.0,4.0,0.0,0.9,13.8,2.4,59372.0,57173.0,0.0,0.0
de Gea,MUN,5.3,GKP,3.6%,2.4,87.0,2115.0,0.0,0.0,9.0,29.0,0.0,0.0,0.0,0.0,0.0,54.0,4.0,389.0,415.8,0.0,0.0,41.5,2.4,1.0,0.5,16.4,3.6,403520.0,506985.0,-2.0,2.0
Baldock,SHU,4.9,DEF,0.8%,2.8,43.0,2113.0,0.0,2.0,1.0,40.0,0.0,0.0,0.0,4.0,0.0,0.0,2.0,246.0,261.0,224.3,190.0,67.6,2.8,0.0,0.6,8.8,1.8,52168.0,315691.0,-6.0,6.0
Douglas Luiz,AVL,4.8,MID,0.2%,1.3,57.0,2100.0,0.0,2.0,11.0,28.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0,270.0,320.8,234.7,129.0,68.7,1.3,0.0,0.3,11.9,2.4,30104.0,45327.0,-2.0,2.0
