Player,Team,Player_Appearances,Player_Minutes played,Player_Goals scored,Player_NPG,Player_Assists,Player_xG,Player_NPxG,Player_xA,Player_xGChain,Player_xGBuildup,Player_xG90,Player_NPxG90,Player_xA90,Player_xG90+xA90,Player_NPxG90+xA90,Player_xGChain90,Player_xGBuildup90
Diogo Dalot,MUN,1,21,0.0,0.0,0.0,0.00,0.00,0.00,0.05,0.05,0.00,0.00,0.00,0.00,0.00,0.23,0.23
Ben White,ARS,2,180,0.0,0.0,0.0,0.00,0.00,0.00,0.75,0.75,0.00,0.00,0.00,0.00,0.00,0.37,0.37
Max Kilman,WOL,2,180,0.0,0.0,0.0,0.02,0.02,0.04,0.79,0.79,0.01,0.01,0.02,0.03,0.03,0.40,0.40
Dan Burn,NEW,2,180,0.0,0.0,0.0,0.12,0.12,0.00,1.22,1.22,0.06,0.06,0.00,0.06,0.06,0.61,0.61
Chris Mepham,BOU,1,29,0.0,0.0,0.0,0.00,0.00,0.02,0.05,0.03,0.00,0.00,0.05,0.05,0.05,0.15,0.10
Miguel Almirón,NEW,2,179,0.0,0.0,0.0,0.08,0.08,0.42,0.67,0.25,0.04,0.04,0.21,0.26,0.26,0.34,0.13
James Garner,EVE,2,174,0.0,0.0,0.0,0.03,0.03,0.17,0.91,0.88,0.01,0.01,0.09,0.10,0.10,0.47,0.45
Tahith Chong,LUT,1,89,0.0,0.0,0.0,0.00,0.00,0.00,0.04,0.04,0.00,0.00,0.00,0.00,0.00,0.04,0.04
Lyle Foster,BUR,1,90,0.0,0.0,0.0,0.11,0.11,0.06,0.24,0.12,0.11,0.11,0.06,0.18,0.18,0.24,0.12
Harvey Elliott,LIV,2,16,0.0,0.0,0.0,0.00,0.00,0.02,0.02,0.02,0.00,0.00,0.13,0.13,0.13,0.13,0.13
Marc Guehi,CRY,2,180,0.0,0.0,0.0,0.05,0.05,0.02,0.79,0.77,0.02,0.02,0.01,0.03,0.03,0.39,0.39
Max Aarons,BOU,2,166,0.0,0.0,0.0,0.02,0.02,0.25,0.93,0.66,0.01,0.01,0.13,0.15,0.15,0.50,0.36
Leandro Trossard,ARS,1,11,0.0,0.0,0.0,0.00,0.00,0.05,0.26,0.21,0.00,0.00,0.39,0.39,0.39,2.15,1.76
Adam Webster,BHA,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.42,0.42,0.00,0.00,0.00,0.00,0.00,0.42,0.42
John Egan,SHU,2,180,0.0,0.0,0.0,0.05,0.05,0.00,0.0,0.00,0.03,0.03,0.00,0.03,0.03,0.00,0.00
Chris Basham,SHU,2,111,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
George Baldock,SHU,1,90,0.0,0.0,0.0,0.00,0.00,0.00,0.0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
Oliver Norwood,SHU,2,180,0.0,0.0,0.0,0.03,0.03,0.12,0.14,0.11,0.01,0.01,0.06,0.07,0.07,0.07,0.06
